group,count,train_oof_rmse,train_oof_mae,bias,sse_pct
aircraft=A359,22273,268.27556351880736,116.1054082646245,2.117717396540739,21.580823332237504
aircraft=B77W,1584,571.4016814681561,261.7523882265458,-3.178563106507562,6.962500930005043
aircraft=B744,509,1646.085637937024,550.6591241222361,0.6988336519628485,18.567340190362614
aircraft=A320,28188,93.60953357730286,44.78646946639909,-0.5254274202271906,3.325305007208638
aircraft=A20N,35662,78.86774236745833,41.63248449172101,-0.5690285425036338,2.9862872131153155
aircraft=B738,7076,97.51356950799817,49.78680397533963,-0.47813564844464174,0.90582644077535
duration=<2h,3746,127.49010577101491,70.37566976467393,5.648215504660162,0.8196865269844815
duration=2-4h,42364,142.83215213460576,54.52856906900728,-0.9797378226587158,11.63525699411828
duration=4-8h,33091,194.2653172810785,52.72549808817046,-0.04735647624401836,16.8123141271392
duration=≥8h,39199,334.9484224192025,129.58847113524092,1.5226500623903514,59.2049368276311
cruise=low_cruise<0.5,28720,216.13748147726332,62.798969350884455,0.27168129340523867,18.062242535140808
cruise=med_cruise0.5-0.8,23689,159.65325843008475,62.75046194835945,-2.5965152197498527,8.128854724709953
cruise=high_cruise>0.8,66623,286.8657846251103,94.61733791640923,0.8061204433043909,73.80890274014924
