variant,hypothesis,expected_gain,rank_rmse,final_rmse,combined_rmse,rank_mae,final_mae,combined_mae,combined_bias,pct_overpredict,narrow_rmse,heavy_rmse,a20n_rmse,a320_rmse,a359_rmse,b77w_rmse,b744_rmse,cruise_rmse,climb_rmse,descent_rmse,ultralong_rmse,medium_rmse,delta_combined_vs_baseline,family,model_key,feature_count,gate,gate_reason
R2a_fix_descriptors_cat,R2 descriptors ONLY (fixed B744),"",234.80769792602456,218.81693649934323,225.25148471628782,83.50044519184759,78.6840793201326,80.58131658090893,11.720492461823902,67.14714322984608,80.6586270080328,421.1836598116349,83.34813169277132,68.81951985388555,345.7472493601225,828.3285735383292,863.3091320016102,244.0320023162824,204.95315451876107,118.5613319189874,436.09568334225577,92.20708327474765,-2.9990551620328745,R2a_fix_descriptors,cat,73,KEEP,accepted
R2a_fix_descriptors_lgbm,R2 descriptors ONLY (fixed B744),"",244.4478208266676,220.06887094306097,229.9807968846746,84.67876326068242,79.28423138797005,81.40921672877663,12.637533553496219,67.22541090529612,80.6586270080328,430.95814514599215,83.34813169277132,68.81951985388555,341.1157478352475,859.1021750777943,943.2452739577258,250.84372816803057,196.03188927816439,120.90182603216927,445.61129001146907,95.29821445440463,1.7302570063538951,R2a_fix_descriptors,lgbm,73,REJECT,combined_rmse not improved vs comparison baseline
R2b_aircraft_chars_cat,R2 descriptors + aircraft chars,"",234.80769792602456,218.81693649934323,225.25148471628782,83.50044519184759,78.6840793201326,80.58131658090893,11.720492461823902,67.14714322984608,80.6586270080328,421.1836598116349,83.34813169277132,68.81951985388555,345.7472493601225,828.3285735383292,863.3091320016102,244.0320023162824,204.95315451876107,118.5613319189874,436.09568334225577,92.20708327474765,-2.9990551620328745,R2b_aircraft_chars,cat,73,KEEP,accepted_vs_official_floor
R2b_aircraft_chars_lgbm,R2 descriptors + aircraft chars,"",244.4478208266676,220.06887094306097,229.9807968846746,84.67876326068242,79.28423138797005,81.40921672877663,12.637533553496219,67.22541090529612,80.6586270080328,430.95814514599215,83.34813169277132,68.81951985388555,341.1157478352475,859.1021750777943,943.2452739577258,250.84372816803057,196.03188927816439,120.90182603216927,445.61129001146907,95.29821445440463,1.7302570063538951,R2b_aircraft_chars,lgbm,73,REJECT,combined_rmse not improved vs comparison baseline
R2c_mass_proxies_cat,R2 descriptors + mass proxies,"",234.80769792602456,218.81693649934323,225.25148471628782,83.50044519184759,78.6840793201326,80.58131658090893,11.720492461823902,67.14714322984608,80.6586270080328,421.1836598116349,83.34813169277132,68.81951985388555,345.7472493601225,828.3285735383292,863.3091320016102,244.0320023162824,204.95315451876107,118.5613319189874,436.09568334225577,92.20708327474765,-2.9990551620328745,R2c_mass_proxies,cat,73,KEEP,accepted_vs_official_floor
R2c_mass_proxies_lgbm,R2 descriptors + mass proxies,"",244.4478208266676,220.06887094306097,229.9807968846746,84.67876326068242,79.28423138797005,81.40921672877663,12.637533553496219,67.22541090529612,80.6586270080328,430.95814514599215,83.34813169277132,68.81951985388555,341.1157478352475,859.1021750777943,943.2452739577258,250.84372816803057,196.03188927816439,120.90182603216927,445.61129001146907,95.29821445440463,1.7302570063538951,R2c_mass_proxies,lgbm,73,REJECT,combined_rmse not improved vs comparison baseline
R2d_cruise_features_cat,R2 descriptors + cruise features,"",234.80769792602456,218.81693649934323,225.25148471628782,83.50044519184759,78.6840793201326,80.58131658090893,11.720492461823902,67.14714322984608,80.6586270080328,421.1836598116349,83.34813169277132,68.81951985388555,345.7472493601225,828.3285735383292,863.3091320016102,244.0320023162824,204.95315451876107,118.5613319189874,436.09568334225577,92.20708327474765,-2.9990551620328745,R2d_cruise_features,cat,73,KEEP,accepted_vs_official_floor
R2d_cruise_features_lgbm,R2 descriptors + cruise features,"",244.4478208266676,220.06887094306097,229.9807968846746,84.67876326068242,79.28423138797005,81.40921672877663,12.637533553496219,67.22541090529612,80.6586270080328,430.95814514599215,83.34813169277132,68.81951985388555,341.1157478352475,859.1021750777943,943.2452739577258,250.84372816803057,196.03188927816439,120.90182603216927,445.61129001146907,95.29821445440463,1.7302570063538951,R2d_cruise_features,lgbm,73,REJECT,combined_rmse not improved vs comparison baseline
R2e_physics_interactions_cat,R2 descriptors + physics interactions,"",234.80769792602456,218.81693649934323,225.25148471628782,83.50044519184759,78.6840793201326,80.58131658090893,11.720492461823902,67.14714322984608,80.6586270080328,421.1836598116349,83.34813169277132,68.81951985388555,345.7472493601225,828.3285735383292,863.3091320016102,244.0320023162824,204.95315451876107,118.5613319189874,436.09568334225577,92.20708327474765,-2.9990551620328745,R2e_physics_interactions,cat,73,KEEP,accepted_vs_official_floor
R2e_physics_interactions_lgbm,R2 descriptors + physics interactions,"",244.4478208266676,220.06887094306097,229.9807968846746,84.67876326068242,79.28423138797005,81.40921672877663,12.637533553496219,67.22541090529612,80.6586270080328,430.95814514599215,83.34813169277132,68.81951985388555,341.1157478352475,859.1021750777943,943.2452739577258,250.84372816803057,196.03188927816439,120.90182603216927,445.61129001146907,95.29821445440463,1.7302570063538951,R2e_physics_interactions,lgbm,73,REJECT,combined_rmse not improved vs comparison baseline
