variant,hypothesis,expected_gain,rank_rmse,final_rmse,combined_rmse,rank_mae,final_mae,combined_mae,combined_bias,pct_overpredict,narrow_rmse,heavy_rmse,a20n_rmse,a320_rmse,a359_rmse,b77w_rmse,b744_rmse,cruise_rmse,climb_rmse,descent_rmse,ultralong_rmse,medium_rmse,delta_combined_vs_baseline,weight_strategy,delta_vs_221_33
R5a_uniform,Baseline: all samples weight=1.0,−1 to −5 kg,238.64366783888292,214.33520056345523,224.22546751293143,80.54619197140228,74.6927015089834,76.99847737956642,0.9818071029304964,59.8503130707018,76.91024963706056,420.95514990613214,77.29431570118197,70.7739577120335,330.87063818673374,863.4918896305655,888.2622119180387,244.6507115923076,191.04026095772468,117.11833814609075,437.276813568471,88.7351111074978,-4.0250723653892635,R5a_uniform,2.8954675129314182
R5b_heavy_3x,Heavy types weighted 3x,−1 to −5 kg,244.5347589494022,220.10658242869476,230.03906961425423,83.99054286669065,78.76624450945016,80.8241723680827,9.180574390264018,67.24334724758675,80.71312164351892,430.93463788628895,80.343680099135,74.62843676682274,338.89816039244187,858.856046503663,927.8210115190179,250.3976772188351,201.32573730079935,119.50125985656513,448.0271132366412,93.16804057127653,1.7885297359335368,R5b_heavy_3x,8.709069614254219
R5c_target_heavies,"B744=5x, B77W=4x, A359=3x (SSE-proportional)",−1 to −5 kg,245.7814476377344,221.00255000758816,231.080720009933,81.83713189633654,76.17281354654547,78.40407174336019,4.180705267311174,62.89133837725019,79.66620021531118,433.70307026662795,78.50396392452757,73.4030698407379,328.11932940136,878.6189829622813,1025.509207361,249.94687761794734,208.73143176601363,127.5591382941437,450.383142761022,92.41754639126326,2.830180131612309,R5c_target_heavies,9.75072000993299
R5d_duration,Weight by log(flight_hours),−1 to −5 kg,245.0666487372227,219.01516696034463,229.63031030301377,84.68544311087484,78.75086420925155,81.08858200708313,9.414045085603394,66.94984346464909,80.90175583892835,430.02792460280597,82.64279006849823,72.14923481518102,340.3714812627701,859.1759505056809,955.4057204312094,247.82255295015977,214.1449510395148,123.47516662223879,447.5980629710231,91.97675912660296,1.3797704246930778,R5d_duration,8.30031030301376
R5e_cruise,Cruise-dominant intervals weighted 2x,−1 to −5 kg,240.2146228256361,220.4766927367719,228.45541124275138,83.31847583391101,78.07092189549977,80.13801046913886,9.129099077979975,64.009913905557,79.72792961978817,428.156046509517,78.7086758540327,77.2425071124682,336.5377630476542,854.8562964947258,912.3270559928619,249.54878140238404,187.78863661118507,124.73890900477656,444.1522489598427,93.33155389973977,0.2048713644306872,R5e_cruise,7.125411242751369
R5f_combined,Heavy × duration combined,−1 to −5 kg,245.6216570104356,220.51143814891435,230.7291684996052,84.17615290392878,78.94462030232191,81.00539783606862,9.84153866649706,66.78515523088964,81.86508065430748,431.7270022388401,82.43002811325017,73.74968800012851,335.52455469924917,853.1555000575678,1024.9380095935242,249.37057636058663,212.54549808881302,123.96202259979532,447.4937642220288,94.60226627953159,2.478628621284514,R5f_combined,9.399168499605196
R5g_inverse_count,Inverse aircraft frequency,−1 to −5 kg,256.60785804456805,241.45089327862559,247.53225863691605,94.86404756177794,92.88910137171021,93.66706168444918,22.721987976741932,64.60670493086356,89.4716789152237,462.3359642742056,88.79990292116429,84.9392645051831,346.07815005292906,952.7017847868337,1030.6430697992926,270.54713627021874,209.8404599514587,125.76335869783559,477.6513109592674,109.31521020636687,19.28171875859536,R5g_inverse_count,26.202258636916042
R5b_heavy_3x_ensemble_P1E,Ensemble + P1E with Heavy types weighted 3x,"",234.9884008746048,223.83939551095224,228.29615668338462,81.10253431869727,76.55848049918275,78.34845004281422,7.994906124914597,66.15901382728933,76.72693693837495,429.5762234073628,77.56822529352004,71.6639506646995,337.2357525260346,838.0642231368298,949.4421080383634,249.81550891324696,192.2679014809119,114.49304540728988,440.50200667089376,89.31349022378528,0.04561680506392918,R5b_heavy_3x,6.966156683384611
R5c_target_heavies_ensemble_P1E,"Ensemble + P1E with B744=5x, B77W=4x, A359=3x (SSE-proportional)","",241.1093852186731,228.38596148856735,233.48068775054833,82.21747034769933,78.17776334154689,79.76906326743118,10.42263375925223,65.67473258544221,76.38245072713838,440.4371161874237,76.0260191922908,73.87116587902125,337.5758751453279,852.6944437135617,1098.2708818486528,255.62610528085364,195.73953939663667,116.76882418490074,455.0094731828648,90.55956967741996,5.230147872227633,R5c_target_heavies,12.150687750548315
R5f_combined_ensemble_P1E,Ensemble + P1E with Heavy × duration combined,"",239.92448612934726,220.13059450056957,228.13280396198158,84.61793355394224,79.89096510595675,81.75298740843577,13.814038066006276,67.60207409339942,79.32126009592764,427.89890940621467,80.6983100323026,72.48759976798321,334.36322676950726,833.956434765,997.1766086855035,249.13620420940947,190.81089333972264,121.27459126954086,440.8105875242472,93.98743712357094,-0.11773591633911451,R5f_combined,6.802803961981567
