iter	RMSE
0	859.4554892
1	823.0590099
2	789.8003432
3	758.249823
4	728.2176211
5	700.3080826
6	673.0576997
7	648.0595367
8	624.1575816
9	601.4553134
10	580.0747426
11	560.5062011
12	541.906786
13	524.3545787
14	507.6847774
15	492.3623935
16	477.4148637
17	463.5344065
18	450.1677163
19	437.7571931
20	426.2808433
21	415.8716209
22	406.1161783
23	396.9325043
24	388.0630016
25	379.8105251
26	372.2313466
27	365.1377639
28	358.2154251
29	351.9154452
30	346.0165497
31	340.7997925
32	335.7662196
33	330.8077407
34	326.2102487
35	321.8258378
36	317.805105
37	314.0216788
38	310.5258282
39	307.1803293
40	304.2590832
41	301.440446
42	298.7596664
43	296.0267821
44	293.5532163
45	291.0607229
46	288.5952658
47	286.3420492
48	284.4468092
49	282.484099
50	280.5473815
51	278.8759412
52	277.4308697
53	275.9735425
54	274.4108627
55	273.011239
56	271.6614798
57	270.3223117
58	268.9218078
59	267.5034744
60	266.3084997
61	265.3236237
62	264.2517875
63	263.2439571
64	262.2247562
65	261.1286619
66	260.276573
67	259.4052562
68	258.3333639
69	257.465513
70	256.797502
71	255.9592978
72	255.1489338
73	254.4319435
74	253.6762234
75	253.0006402
76	252.2599249
77	252.1482691
78	252.0398247
79	251.3132938
80	251.1931174
81	251.0771811
82	250.3577499
83	250.2332095
84	250.0557597
85	249.3090464
86	248.6410822
87	248.1043332
88	247.3913761
89	247.3003388
90	247.2118481
91	246.5986608
92	245.9422236
93	245.3794833
94	244.7757464
95	244.5436078
96	244.1494805
97	244.0544907
98	243.591078
99	243.2537253
100	242.6944328
101	242.6034368
102	242.0167842
103	241.6419335
104	241.2461316
105	241.1765386
106	240.792176
107	240.6958749
108	240.3413408
109	240.2690587
110	240.1978426
111	240.1086393
112	239.6690697
113	239.0423504
114	238.6341218
115	238.4558783
116	238.1506664
117	237.9566436
118	237.8895836
119	237.7044424
120	237.3861699
121	236.9352297
122	236.8485095
123	236.4162147
124	236.001976
125	235.5078358
126	235.1775859
127	234.769901
128	234.4080039
129	234.0202789
130	233.9183913
131	233.771763
132	233.3669252
133	233.2396558
134	232.7867756
135	232.5827641
136	232.1565629
137	231.9160753
138	231.22996
139	230.9456369
140	230.641769
141	230.4408291
142	230.4013316
143	230.0874447
144	229.7547734
145	229.3664653
146	228.938369
147	228.648475
148	228.1794178
149	227.8406088
150	227.6418957
151	227.4782449
152	227.3189358
153	227.2517012
154	226.9049413
155	226.5895619
156	226.1417261
157	226.0218659
158	225.8869492
159	225.4759148
160	225.3614897
161	225.1981987
162	225.1524083
163	224.781277
164	224.6019346
165	224.3582666
166	223.9709486
167	223.6201908
168	223.3674704
169	222.9809583
170	222.5991444
171	222.2860399
172	222.1127685
173	221.9268498
174	221.832944
175	221.4575916
176	221.2733547
177	221.0384962
178	220.6318502
179	220.3796167
180	220.1329509
181	219.9645645
182	219.7645044
183	219.499402
184	219.2050907
185	218.9953548
186	218.5429286
187	218.2022574
188	217.9061307
189	217.6390139
190	217.5827521
191	217.2961715
192	217.1985949
193	217.1490208
194	216.8645674
195	216.8305879
196	216.6090617
197	216.4067215
198	216.1885287
199	216.063291
200	215.8774775
201	215.6340893
202	215.3616101
203	215.1888088
204	215.0710727
205	214.9854527
206	214.789869
207	214.597812
208	214.3863029
209	214.1185714
210	213.8432337
211	213.6831315
212	213.5067795
213	213.3286719
214	213.1695719
215	213.003911
216	212.6637889
217	212.4909786
218	212.2844686
219	212.122237
220	211.9263381
221	211.7769876
222	211.5492093
223	211.3766893
224	211.1769352
225	211.0499759
226	210.9287724
227	210.7330332
228	210.5596004
229	210.4222632
230	210.3826934
231	210.2229001
232	210.0360492
233	209.8897243
234	209.7762538
235	209.5856146
236	209.4234414
237	209.28748
238	209.1308705
239	208.9659808
240	208.7864238
241	208.5194694
242	208.3352792
243	208.0922048
244	207.8334484
245	207.7639207
246	207.4748119
247	207.2881356
248	207.0247662
249	206.9662752
250	206.752104
251	206.6161568
252	206.3408295
253	206.234312
254	206.1476752
255	206.036696
256	205.9071716
257	205.6331276
258	205.5546961
259	205.3634608
260	205.1976111
261	205.0831814
262	204.8804276
263	204.761288
264	204.5542454
265	204.4360245
266	204.2654399
267	204.1462289
268	203.9446602
269	203.6817029
270	203.568042
271	203.465212
272	203.1709841
273	203.0899593
274	202.9502751
275	202.8189193
276	202.6754144
277	202.582192
278	202.5333269
279	202.3939193
280	202.2691979
281	202.0435619
282	202.0049266
283	201.7413932
284	201.6031339
285	201.5175117
286	201.4508327
287	201.3498139
288	201.2215515
289	201.094995
290	200.9606712
291	200.8038464
292	200.6879286
293	200.5363102
294	200.374268
295	200.2233566
296	200.1520405
297	200.0146151
298	199.8096709
299	199.6386669
