iter	Passed	Remaining
0	50	15126
1	98	14707
2	145	14450
3	189	14037
4	231	13674
5	275	13489
6	317	13286
7	362	13220
8	404	13083
9	449	13045
10	490	12892
11	534	12822
12	576	12731
13	617	12620
14	660	12553
15	706	12541
16	746	12433
17	788	12351
18	829	12268
19	872	12214
20	916	12173
21	961	12149
22	1004	12097
23	1046	12039
24	1088	11969
25	1129	11902
26	1171	11840
27	1210	11763
28	1254	11725
29	1294	11646
30	1335	11587
31	1378	11543
32	1418	11477
33	1459	11419
34	1504	11392
35	1547	11346
36	1586	11273
37	1625	11210
38	1667	11161
39	1708	11104
40	1747	11035
41	1787	10977
42	1932	11548
43	2099	12214
44	2157	12225
45	2196	12128
46	2238	12049
47	2278	11960
48	2319	11880
49	2362	11811
50	2402	11729
51	2440	11639
52	2479	11554
53	2517	11468
54	2562	11415
55	2604	11346
56	2653	11314
57	2710	11310
58	2759	11270
59	2801	11206
60	2841	11132
61	2879	11053
62	2922	10995
63	2963	10928
64	3005	10865
65	3046	10800
66	3088	10741
67	3131	10682
68	3171	10616
69	3211	10552
70	3253	10492
71	3295	10436
72	3334	10369
73	3373	10302
74	3411	10235
75	3451	10172
76	3492	10114
77	3531	10052
78	3546	9920
79	3595	9887
80	3637	9833
81	3679	9782
82	3722	9731
83	3761	9672
84	3801	9616
85	3845	9568
86	3883	9508
87	3923	9451
88	3961	9392
89	3987	9303
90	4025	9245
91	4065	9191
92	4103	9133
93	4145	9085
94	4184	9030
95	4224	8976
96	4267	8930
97	4307	8878
98	4346	8825
99	4385	8771
100	4427	8723
101	4467	8672
102	4509	8624
103	4546	8567
104	4586	8517
105	4627	8468
106	4668	8420
107	4708	8370
108	4750	8323
109	4790	8274
110	4831	8225
111	4869	8174
112	4911	8127
113	4954	8084
114	4995	8035
115	5035	7987
116	5076	7940
117	5114	7888
118	5156	7843
119	5198	7798
120	5240	7752
121	5280	7704
122	5319	7655
123	5358	7605
124	5398	7557
125	5440	7513
126	5481	7467
127	5520	7418
128	5562	7372
129	5604	7328
130	5645	7283
131	5685	7236
132	5728	7192
133	5770	7149
134	5814	7106
135	5854	7060
136	5897	7016
137	5944	6978
138	5991	6940
139	6036	6898
140	6082	6859
141	6125	6815
142	6142	6743
143	6186	6701
144	6233	6663
145	6275	6619
146	6316	6573
147	6362	6534
148	6410	6496
149	6456	6456
150	6499	6413
151	6547	6375
152	6591	6333
153	6635	6290
154	6673	6243
155	6715	6198
156	6759	6156
157	6800	6111
158	6882	6102
159	7045	6164
160	7163	6184
161	7204	6137
162	7243	6088
163	7283	6040
164	7324	5992
165	7364	5944
166	7405	5897
167	7443	5848
168	7484	5801
169	7526	5755
170	7563	5706
171	7604	5659
172	7644	5611
173	7685	5565
174	7725	5518
175	7764	5470
176	7806	5424
177	7846	5377
178	7887	5331
179	7929	5286
180	7969	5239
181	8013	5195
182	8054	5149
183	8095	5103
184	8137	5058
185	8175	5011
186	8217	4965
187	8259	4920
188	8298	4873
189	8341	4829
190	8383	4784
191	8423	4738
192	8463	4691
193	8506	4647
194	8553	4605
195	8600	4563
196	8642	4518
197	8684	4473
198	8723	4427
199	8762	4381
200	8807	4337
201	8846	4291
202	8888	4247
203	8928	4201
204	8966	4154
205	9005	4109
206	9049	4065
207	9087	4019
208	9125	3973
209	9166	3928
210	9208	3884
211	9245	3837
212	9283	3791
213	9327	3748
214	9368	3703
215	9409	3659
216	9447	3613
217	9488	3569
218	9529	3524
219	9570	3480
220	9612	3436
221	9652	3391
222	9692	3346
223	9733	3302
224	9773	3257
225	9812	3212
226	9851	3168
227	9891	3123
228	9933	3079
229	9971	3034
230	10013	2991
231	10056	2947
232	10098	2903
233	10139	2859
234	10180	2815
235	10220	2771
236	10264	2728
237	10320	2688
238	10396	2653
239	10437	2609
240	10478	2565
241	10518	2520
242	10559	2476
243	10599	2432
244	10644	2389
245	10684	2345
246	10724	2301
247	10766	2257
248	10804	2213
249	10846	2169
250	10888	2125
251	10928	2081
252	10968	2037
253	11011	1994
254	11052	1950
255	11090	1906
256	11127	1861
257	11169	1818
258	11209	1774
259	11249	1730
260	11288	1686
261	11328	1643
262	11369	1599
263	11410	1556
264	11451	1512
265	11490	1468
266	11533	1425
267	11572	1381
268	11611	1338
269	11652	1294
270	11690	1250
271	11732	1207
272	11773	1164
273	11813	1120
274	11928	1084
275	12083	1050
276	12144	1008
277	12181	964
278	12221	919
279	12261	875
280	12299	831
281	12340	787
282	12379	743
283	12420	699
284	12460	655
285	12499	611
286	12538	567
287	12579	524
288	12619	480
289	12666	436
290	12715	393
291	12761	349
292	12809	306
293	12851	262
294	12892	218
295	12932	174
296	12971	131
297	13014	87
298	13056	43
299	13100	0
