aircraft_type,count,rmse,bias,sse_contribution_pct,mean_abs_error
A359,9122,342.0384217942025,-10.412744665244334,34.01157045817235,145.29182600872377
B77W,1031,844.4634890663295,-57.23253068866778,23.431886219854313,362.7842061229516
A332,2201,428.901607740584,-9.64978807293727,12.903936608781947,180.03461397587415
B744,561,821.0201269454788,247.41469641420738,12.05194937643745,446.27276727783874
A20N,29017,83.34813169277132,24.594445760645538,6.424377881321096,50.625135626528014
B789,1433,285.85676281185295,-9.962747022141318,3.731899698612124,122.36954140188237
B788,737,360.2334277990603,55.62853059081901,3.048051770119203,213.31720211037185
A320,12886,68.81951985388555,6.014116312709877,1.9450386403860251,40.06469987719699
B738,1840,99.88823211498348,19.71897528368846,0.5851043225099031,55.9864283447319
A333,527,183.82135383737096,5.631625479395588,0.5675307086493823,126.86971786433172
B772,220,229.32386798697553,23.363667110193393,0.36872962143530774,150.73206866038603
A321,268,172.51956601087502,-7.107281648401239,0.25421334071582724,82.98291901566797
A21N,939,63.23185087680688,11.42070510225814,0.11965317053578602,37.99580540260912
B739,36,185.188061371283,80.57984547368643,0.03934733305180501,150.5043852815921
A319,345,52.49052697862619,6.538772515926822,0.030294779148178828,34.232008189000176
B38M,79,66.43716566792985,46.28325201092162,0.011113122816576988,51.05813991403467
B737,26,115.42069526483418,75.61356375147737,0.011038944504279863,96.30082297288048
