aircraft_type,n_test_intervals,n_test_flights,mae,rmse,r2
A306,19,2,699.7246632021643,1031.0028549999108,0.21371744841836982
B744,87,12,434.4209958741265,774.438715221442,0.7162670551620693
B77W,332,37,328.1155526664588,569.1198115277891,0.865167205854543
A332,869,95,229.49101071435166,446.46336518951654,0.8423384485488117
B772,234,15,238.49835742773098,344.25642158663584,0.9208891159157246
A333,269,26,155.7730222715413,260.5285087468555,0.9504343235820717
B737,36,6,149.27267703512317,247.60761429515767,0.6255603694202188
A359,4666,301,118.33396447884331,245.38360513252186,0.9549348272010479
B789,671,44,133.42627503080166,235.71282057998053,0.9561334136755203
B788,1343,110,136.87347222225395,231.3676007368079,0.9025478240309074
A321,482,60,80.22124526284043,173.80162292367154,0.7512963311957752
B739,19,3,107.1415008174585,131.92908437814532,0.8077323355858953
A20N,6917,581,46.87100586300359,87.94391166441578,0.8284957813234027
A320,5223,531,47.76896555667626,82.58014805718798,0.9432459435716298
A21N,556,70,51.73324152127888,80.49893887298178,0.8054765782834619
B738,1200,92,44.296606727448776,67.38492993863696,0.908121276733185
A319,57,4,48.836588885554335,62.13194502204479,0.944217991356897
B38M,38,4,50.64304016160264,59.443378794079614,0.24917882451199802
