aircraft_type,n,n_frac,mae,rmse,bias_mean_pred_minus_actual,median_bias,sse,sse_share,mean_actual_kg,mean_pred_kg
A359,9122,0.14874119488651186,164.21836468276598,330.6951828782221,30.463744056274496,81.05957876763225,997575570.8951678,0.2922757467034357,1179.247514633633,1209.7112586899075
B77W,1031,0.016811244456039657,415.75395106579464,847.3610279238904,22.20870880469759,128.16539532271509,740279353.7052033,0.2168915390331489,1542.6247146770124,1564.8334234817103
B744,561,0.009147534568223323,547.7258746045644,1134.7166697145858,310.97747406856706,196.22820026827094,722333457.4162978,0.21163364139498242,1812.9716948306595,2123.949168899227
A332,2201,0.03588899034698669,188.3976662634556,380.8061348786837,20.194983934461273,52.344516296940924,319174300.50709414,0.09351362416137289,581.9997209268514,602.1947048613126
A20N,29017,0.4731444038612053,53.70293616569779,92.97728308198052,33.637722802114766,28.361982334795975,250845441.08777368,0.07349422012739554,127.97809645487817,161.61581925699292
B789,1433,0.023366162274980434,155.2077627334408,296.32992427079677,55.140425923623226,75.10925254402423,125833770.6182757,0.03686754200983765,1013.0538539511515,1068.1942798747748
B788,737,0.012017349334724758,221.5401303664027,362.93223153631163,35.9008419351633,-44.14909166726784,97077496.05500215,0.028442354118710933,887.78810963365,923.6889515688132
A320,12886,0.21011609705191756,43.17964533803116,71.03745548530497,16.519105950296385,13.635443321183715,65026880.57441868,0.01905197022680562,261.29557031575354,277.8146762660499
B738,1840,0.030002608922515002,66.57205497579444,125.05165306599028,35.75871286777974,16.991376880444946,28773765.319547705,0.008430312439080363,291.3736145043478,327.1323273721275
A333,527,0.008593138533785547,142.08987286898687,199.97335891714874,38.353333692596756,42.5730424726014,21074384.43377178,0.0061745010868386584,634.6858407590132,673.03917445161
B772,220,0.0035872684581267937,145.5274133371998,209.21203638612448,-68.80026188852317,-70.19705942506198,9629328.757142397,0.0028212591956528767,1825.4545454545455,1756.6542835660223
A321,268,0.004369945212627185,87.75258173825992,179.5294359248038,12.716913103561224,18.547753949857146,8637859.321412168,0.0025307724614983384,402.2009802985075,414.9178934020687
A306,13,0.00021197495434385598,406.39014933663407,803.9258117114931,92.62318682192205,-31.9173086585593,8401857.23956778,0.002461627138871064,939.2739076923076,1031.8970945142298
B752,19,0.0003098095486564049,349.743631341114,521.4082033695611,-329.79072048904203,-230.0667512894521,5165463.776280398,0.001513408934951311,812.3191410526315,482.52842056358963
B77L,7,0.00011414036003130707,577.8172001774393,822.262457903153,-492.27994667327647,-353.83687939133006,4732808.847738541,0.0013866470674859521,2071.4285714285716,1579.1486247552953
A21N,939,0.015311114009913905,41.101629433122454,66.89195803928779,22.548366046936785,18.60574870308396,4201587.473259718,0.0012310066043265558,188.86066768051117,211.40903372744796
B739,36,0.0005870075658752935,202.4982545190432,249.93846974231857,149.6183242522244,167.7668122434623,2248892.591656748,0.0006588942037669185,730.5555555555555,880.1738798077799
A319,345,0.005625489172971562,34.681932719475355,52.15386055228423,9.658869586649015,11.065311466820255,938408.6838249525,0.0002749406729475224,222.3072463768116,231.96611596346062
B737,26,0.00042394990868771195,106.14819158579786,126.67321090571784,90.05763415631966,75.81228419246531,417198.66139027633,0.00012223339648553887,576.9412184615385,666.9988526178581
B763,17,0.0002771980172188886,119.36864710957505,152.02300930645754,73.91458943859527,47.26839378491354,392886.9210960517,0.00011511039522581654,339.39354352941183,413.3081329680071
B38M,79,0.001288155491781894,48.82751066354899,63.4208815931641,43.892405710827084,36.91502384572442,317754.4495422771,0.00009309762760626768,54.706044556962034,98.5984502677891
B734,4,0.00006522306287503261,114.13462126758868,115.19288953597302,114.13462126758868,116.57280344270771,53077.60719858753,0.000015550999573173258,56.699,170.83362126758868
