variant,level2,mae,rmse,r2
FuelFlow,Ridge,80.76413159189573,199.91783118084933,0.9495953961118943
FuelFlow,ElasticNet,80.76412474110431,199.91782040412863,0.9495954015460901
FuelFlow,LGBM,81.96186260862713,205.876468690192,0.9465459564034299
FuelFlow,L1-LGBM,81.49993923379444,205.53066641364828,0.9467253747335529
FuelFlow,L1-XGB,80.64160186893086,214.95235812002463,0.9417291208425127
FuelFlow,L1-RF,89.46883625699152,230.18541814280286,0.933177493877841
FuelFlow,L1-CAT,82.89858643129286,203.3790525420935,0.9478349554776323
FuelFlow+Energy,Ridge,80.46837923667717,198.79902122488488,0.950157980993757
FuelFlow+Energy,ElasticNet,80.46836256607706,198.79898572139817,0.9501579987963125
FuelFlow+Energy,LGBM,82.20222759347259,206.32480361215042,0.9463128903408754
FuelFlow+Energy,L1-LGBM,80.86280799512755,201.53478742989088,0.9487767433959589
FuelFlow+Energy,L1-XGB,80.40277172825677,209.55866686638353,0.9446167551932771
FuelFlow+Energy,L1-RF,85.02852790176728,214.88109594290114,0.9417677509968096
FuelFlow+Energy,L1-CAT,82.72306097605413,204.29431634400447,0.9473643838141091
FuelFlow+Energy+Mass,Ridge,79.68725945452705,195.314908440195,0.9518897147909589
FuelFlow+Energy+Mass,ElasticNet,79.68724332598111,195.3148722941678,0.9518897325980534
FuelFlow+Energy+Mass,LGBM,81.34248503187392,204.18062811981522,0.9474229501492024
FuelFlow+Energy+Mass,L1-LGBM,80.12109387461997,196.43630069542124,0.9513356825471483
FuelFlow+Energy+Mass,L1-XGB,80.09583145274071,198.67599680856418,0.9502196501907925
FuelFlow+Energy+Mass,L1-RF,82.09199524148828,202.62578149967666,0.9482206554605734
FuelFlow+Energy+Mass,L1-CAT,81.89348484905986,204.01642420599939,0.9475074820259989
E+W+phys Ensemble (LGBM_meta 5f OOF),LGBM_meta,84.3,202.9,0.9481
PRC2025 Winner,Reported,NaN,200.83,NaN
