variant,hypothesis,expected_gain,rank_rmse,final_rmse,combined_rmse,rank_mae,final_mae,combined_mae,combined_bias,pct_overpredict,narrow_rmse,heavy_rmse,a20n_rmse,a320_rmse,a359_rmse,b77w_rmse,b744_rmse,cruise_rmse,climb_rmse,descent_rmse,ultralong_rmse,medium_rmse,delta_combined_vs_baseline,gate,gate_reason,train_oof_rmse,calibrator,affine_a,affine_b,weights
P2b_heavy_cat_flow_on_raw_ensemble,Heavy specialist on uncalibrated ensemble,−5 to −12 kg,235.29386312220555,222.17306506201393,227.4319178480453,85.33233654607007,81.08621763020994,82.75882623915444,14.847049630269089,67.10474823897731,83.17764660875052,424.2642619935686,86.26493094427819,69.16497520398703,343.8090838065408,830.5358203482057,883.0309862756891,245.6004303550804,203.98891284551908,131.0891409965527,437.4737959540097,98.92198427237375,-0.8186220302754066,REJECT,combined_rmse not improved vs comparison baseline,,,,,
P2_heavy_cat_flow_on_P1base,A359/B77W/B744 drive 72% SSE; FuelFlow specialist on heavy types reduces long-haul error without touching narrowbodies,−5 to −12 kg,235.30307111926163,222.1807628140794,227.44022801436807,85.49024878986187,81.2275055261275,82.90666270988199,15.003997971747637,67.27595877902426,83.20748098980849,424.2642619935686,86.34066959949008,69.11415859448682,343.8090838065408,830.5358203482057,883.0309862756891,245.63089746369755,203.90127864529123,131.00934007749385,437.4720907622366,98.94001894989708,-0.8103118639526201,KEEP,accepted,,,,,
P5_flow_only_ridge_meta,Direct bases add noise; Flow-only stack matches Fuel-Flow dominance,−2 to −5 kg,242.5753913694837,217.53041978812075,227.7250430258435,83.8334830176815,78.3323912047172,80.4993520711663,6.927548730363441,62.51304461257501,81.6822779696971,425.7654277781194,82.5253666207587,69.91274750095866,332.1637460040898,840.1219609596089,968.421108036491,246.6335970831584,201.74538650131908,127.56556185875411,439.8135863023654,98.2530289512955,-0.5254968524772039,REJECT,combined_rmse not improved vs comparison baseline,,,,,
P5_nonneg_weights_flow3,Flow-only nonnegative blend,−2 to −5 kg,242.563629466345,217.63162957854513,227.77871079363675,83.9755368321198,78.46522372615242,80.63581699535996,6.96547309525977,62.93047221497522,81.76614817226493,425.8301534686342,82.63410304846488,70.01819348666028,332.4949649362648,840.8255106726546,966.2908204092682,246.7099750255267,201.67721241540198,127.56248230168639,439.8830080972604,98.311372588688,-0.4718290846839466,REJECT,combined_rmse not improved vs comparison baseline,,,,,
P2b_heavy_lgbm_flow_on_raw_ensemble,Heavy specialist on uncalibrated ensemble,−5 to −12 kg,242.95749202810853,217.9904650173001,228.15172597435244,86.8736675980581,82.37338381036535,84.14611169555778,17.908075154736974,67.78959039916515,83.17764660875052,425.7568155121191,86.26493094427819,69.16497520398703,336.3087442229451,856.0169142266978,936.5660630498519,247.09407278325037,205.42420832458512,123.70916861410926,440.52977899417533,96.89029144841538,-0.0988139039682494,REJECT,combined_rmse not improved vs comparison baseline,,,,,
P1E_affine_by_phase,Cruise is 87% SSE; phase-conditional affine shrinks cruise bias,−3 to −10 kg,239.02297372116402,220.8049588169356,228.15501990330654,91.04095912677752,87.46912813971913,88.87612482940993,28.20404379272387,70.29741716671015,83.20748098980849,425.7464699169149,86.34066959949008,69.11415859448682,331.72393185618284,838.5655606956559,986.9283952614649,248.84773344847713,190.66391380649597,124.60240387990522,440.44753971304567,97.01963971879456,-0.09551997501415599,KEEP,accepted,253.9729333566619,ConditionalAffineCalibrator,,,
P2_heavy_lgbm_flow_on_P1base,A359/B77W/B744 drive 72% SSE; FuelFlow specialist on heavy types reduces long-haul error without touching narrowbodies,−5 to −12 kg,242.9664095873615,217.99831046146912,228.16000992343893,87.0315798418499,82.51467170628291,84.29394816628532,18.065023496215517,67.9608009392121,83.20748098980849,425.7568155121191,86.34066959949008,69.11415859448682,336.3087442229451,856.0169142266978,936.5660630498519,247.124355745918,205.3371866834414,123.62460394080333,440.5280856314714,96.908704224033,-0.09052995488175952,KEEP,accepted_vs_official_floor,,,,,
P5_nonneg_weights_all6,Constrained convex weights on OOF beat unrestricted ridge,−2 to −5 kg,238.75963482230816,221.038450338668,228.18343294467795,91.87155729881611,88.55386222228988,89.8607510440144,29.76804544938602,71.56763631620142,83.88364908012127,425.41448715075546,87.21227990747359,69.31688155246927,332.9597680036278,839.324813265934,973.8982223104599,248.89356016816194,190.97707756497374,124.13040186265837,439.8766924929616,97.87183240199367,-0.06710693364274789,REJECT,combined_rmse not improved vs comparison baseline,,,,,"{""xgb_direct"": 0.2128329914292524, ""lgbm_direct"": 0.1400874160208103, ""cat_direct"": 0.0, ""xgb_fuel_flow"": 0.07950931069353721, ""lgbm_fuel_flow"": 0.3915178562618476, ""cat_fuel_flow"": 0.17605242559455248}"
session_rebuild_ensemble,Rebuilt OOF ensemble this run (may differ slightly from frozen official v1),reference_session,239.18031519148374,220.8570993417157,228.2505398783207,90.89361151887124,87.34864174087605,88.74505740577311,28.270398886158578,70.17838507696321,83.17764660875052,425.96166954351673,86.26493094427819,69.16497520398703,331.5778199882652,838.4335512650189,990.5600472300305,248.84169263790074,191.57237227509452,124.76138450073448,440.6777089219299,97.01650065650416,0.0,,,,,,,
baseline_official_v1_recorded,Recorded official ensemble from notebook 17,reference_official,239.18031519148374,220.8570993417157,228.2505398783207,90.89361151887124,87.34864174087605,88.74505740577311,28.270398886158578,70.17838507696321,83.17764660875052,425.96166954351673,86.26493094427819,69.16497520398703,331.5778199882652,838.4335512650189,990.5600472300305,248.84169263790074,191.57237227509452,124.76138450073448,440.6777089219299,97.01650065650416,0.0,REFERENCE,official_v1,,,,,
