excluded_type,macro_delta_mae,median_delta_mae,wins,losses
A20N,-14.894462000180436,-12.716053228228105,6,5
A320,-20.02973587531551,-19.83861108806201,7,4
A359,-21.55833504289435,-19.83861108806201,7,4
B788,-15.091954252425547,-12.716053228228105,6,5
B738,-22.664846521486993,-19.83861108806201,7,4
A332,-12.387772462906538,-12.716053228228105,6,5
A21N,-17.81599399994121,-19.83861108806201,6,5
A321,-13.606435076444455,-12.716053228228105,6,5
B789,-26.22310561249284,-19.83861108806201,7,4
B77W,-3.9519585315892543,-12.716053228228105,6,5
A333,-23.298899111947858,-19.83861108806201,7,4
B772,-17.168488739956306,-12.716053228228105,6,5
