held_out_type,approach,approach_label,routing,target,feature_group,body_class,n_held_flights,n_held_intervals,physics_mae,mae,rmse,r2,delta_mae_vs_physics,train_seconds,model,matched_protocol
A20N,global_residual_ew,Global · Residual · E+W · CatBoost,global,residual_kg,ew_no_physics,narrow,2858,34941,130.8496986054661,86.83611310787998,140.6730850040288,0.5221095947175776,-44.01358549758612,123.24939170000107,CatBoost,true
A21N,global_residual_ew,Global · Residual · E+W · CatBoost,global,residual_kg,ew_no_physics,narrow,359,2782,359.87222405507407,257.2445669966418,332.14313965942915,-1.26500893391029,-102.62765705843225,41.657134099999894,CatBoost,true
A320,global_residual_ew,Global · Residual · E+W · CatBoost,global,residual_kg,ew_no_physics,narrow,2667,26617,156.29522637429443,85.3895652432819,147.95629318044254,0.8164497042863614,-70.90566113101254,121.32669299999907,CatBoost,true
A321,global_residual_ew,Global · Residual · E+W · CatBoost,global,residual_kg,ew_no_physics,narrow,266,2170,251.88238685696325,158.26989659087633,327.33836769292645,0.17385089713765,-93.61249026608692,41.219698200000494,CatBoost,true
A332,global_residual_ew,Global · Residual · E+W · CatBoost,global,residual_kg,ew_no_physics,wide,496,5058,933.0012384806213,707.935394468787,1348.5229172558106,-0.669687942097311,-225.06584401183432,42.12992089999898,CatBoost,true
A333,global_residual_ew,Global · Residual · E+W · CatBoost,global,residual_kg,ew_no_physics,wide,138,1343,518.761178975728,381.5652722524055,693.6762643930583,0.574083394919788,-137.19590672332242,41.90037829999892,CatBoost,true
A359,global_residual_ew,Global · Residual · E+W · CatBoost,global,residual_kg,ew_no_physics,wide,1452,22166,1854.7304752872335,489.137650880422,865.0399589588696,0.44364017373405484,-1365.5928244068116,135.98818050000045,CatBoost,true
B738,global_residual_ew,Global · Residual · E+W · CatBoost,global,residual_kg,ew_no_physics,narrow,518,6841,175.2632729611465,151.6638695254447,202.45671825058128,0.3395760269191407,-23.599403435701788,43.7208541,CatBoost,true
B772,global_residual_ew,Global · Residual · E+W · CatBoost,global,residual_kg,ew_no_physics,wide,97,813,935.6888258134002,775.235059394201,1008.3758064806557,0.5474100608967934,-160.45376641919916,41.61832990000039,CatBoost,true
B77W,global_residual_ew,Global · Residual · E+W · CatBoost,global,residual_kg,ew_no_physics,wide,168,1583,4343.28992143047,2760.813025690808,3637.8402186084263,-3.0663349862232776,-1582.4768957396618,42.25440600000002,CatBoost,true
B788,global_residual_ew,Global · Residual · E+W · CatBoost,global,residual_kg,ew_no_physics,wide,576,7406,413.12670327766426,165.82376064807764,307.5487336711279,0.8123813834612158,-247.30294262958662,49.79372549999971,CatBoost,true
B789,global_residual_ew,Global · Residual · E+W · CatBoost,global,residual_kg,ew_no_physics,wide,206,2872,1947.372232031768,259.34597774749915,471.83088396472095,0.8460000949684943,-1688.0262542842688,41.3527877000015,CatBoost,true
