distance_metric,outcome,n,pearson_r,pearson_p,pearson_boot_ci_lower,pearson_boot_ci_upper,spearman_r,spearman_p,spearman_boot_ci_lower,spearman_boot_ci_upper
nn_distance,loto_direct_mae,12,0.7589047634818997,0.004209438895675681,-0.3463017706562529,0.9575108717338127,0.32867132867132864,0.2969041156887641,-0.3808378132808359,0.9003558718861209
nn_distance,loto_flow_mae,12,0.7804805719729864,0.0027399553737954612,-0.06950385754928733,0.9712061747701995,0.4825174825174825,0.11210929146889187,-0.16847525300442756,0.9214285714285715
nn_distance,loto_direct_rmse,12,0.7800199130794299,0.002766508675566459,0.001424877740044672,0.9547141483117819,0.5664335664335665,0.054842119775407906,0.007007144539530531,0.8819188191881919
nn_distance,mae_inflation_direct,12,-0.2677242149154394,0.4001877747855902,-0.7352909002377978,0.28732159332669327,-0.5664335664335665,0.054842119775407906,-0.9262127786113027,0.06140581080901012
nn_distance,mae_degradation_direct,12,0.5851936068235917,0.045622111596527154,-0.7831243557557541,0.9321255651652759,-0.2797202797202798,0.37856866966230307,-0.9354838709677419,0.4408602150537634
k3_mean_distance,loto_direct_mae,12,0.6809369449356413,0.014777707772940067,-0.11262307536848927,0.8904808008434802,0.4825174825174825,0.11210929146889187,-0.1691315831386706,0.8924731182795699
k3_mean_distance,loto_flow_mae,12,0.7056262574765165,0.0103491908211755,0.010557257694752067,0.9056922891806111,0.49650349650349657,0.10060263183225476,-0.1571428571428571,0.9562123135512536
k3_mean_distance,loto_direct_rmse,12,0.7886349546658076,0.002301270237834394,0.411126084130419,0.9357346364438137,0.7062937062937064,0.01024519394112785,0.23906126482213438,0.9357142857142858
k3_mean_distance,mae_inflation_direct,12,-0.5016849295826072,0.09654852199814314,-0.9016965941389493,0.03166705929738946,-0.4825174825174825,0.11210929146889187,-0.8671830015003448,0.14285714285714288
k3_mean_distance,mae_degradation_direct,12,0.43673782188333493,0.15573547009233615,-0.8384889625698375,0.8084318985491655,-0.21678321678321683,0.49855598552418845,-0.8363278548344504,0.46715328467153283
mahalanobis_distance,loto_direct_mae,12,-0.15472757248479826,0.6311208454070685,-0.4525673753427788,0.18039917073258271,-0.06293706293706294,0.8459309212287789,-0.6075471698113208,0.5770609318996416
mahalanobis_distance,loto_flow_mae,12,-0.20122754804021661,0.530572181566113,-0.6834987719928253,0.28642429005246206,-0.18881118881118883,0.5567370561768314,-0.7269372693726939,0.4623655913978495
mahalanobis_distance,loto_direct_rmse,12,-0.23088715461505532,0.4702988722390346,-0.6171429055728864,0.20874704976005637,-0.1188811188811189,0.712884219214772,-0.7163636363636363,0.4910394265232975
mahalanobis_distance,mae_inflation_direct,12,0.17920078932664268,0.5773430980264075,-0.4718105373588611,0.7365013721079338,-0.006993006993006993,0.9827917689028476,-0.65343661899963,0.6739130434782609
mahalanobis_distance,mae_degradation_direct,12,-0.04530945446212217,0.8888009159922816,-0.312398443950259,0.5854087831975472,0.07692307692307693,0.8121826980280591,-0.5766707218167073,0.6085447934395791
