held_out_type,loto_direct_mae,loto_direct_rmse,body_class,mass_class,mtow_kg,loto_flow_mae,loto_flow_rmse,n_train_types,nn_distance,k3_mean_distance,mahalanobis_distance,mahalanobis_cond,mahalanobis_ok,standard_split_mae,standard_split_rmse,mae_inflation_direct,mae_inflation_flow,mae_degradation_direct,mae_degradation_flow
A20N,294.4591127894223,444.23600708648513,narrow,light,79000.0,249.60620756382588,403.538107162642,11,0.32525693999720245,0.43483692027167514,3.6518067108781094,221561.27373923903,true,46.87100586300359,87.94391166441578,6.282329712532284,5.325386194898071,247.58810692641873,202.7352017008223
A21N,185.06837277943774,277.92055274793046,narrow,medium,97000.0,172.35231955120963,250.18047630360584,11,0.44131164422268804,0.6158814365161454,1682.0060155521278,10749032766.519201,false,51.73324152127888,80.49893887298178,3.5773589154144836,3.331558481219813,133.33513125815887,120.61907802993076
A320,147.94214224672268,202.37659794921214,narrow,light,78000.0,159.57724964761195,270.02373337925957,11,0.3348770718504125,0.3836493785556154,4.4585626767130835,308344.4515778693,true,47.76896555667626,82.58014805718798,3.0970346651361824,3.340605093452965,100.17317669004643,111.8082840909357
A321,193.7545413816964,326.7425753840729,narrow,medium,93500.0,134.73333999500417,243.70532831631897,11,0.3504058153947499,0.4625285995169502,521.7150464699511,2534919008.1096654,false,80.22124526284043,173.80162292367154,2.4152522283451283,1.6795219215752375,113.53329611885599,54.512094732163746
A332,296.01091104133513,546.6452778744574,wide,heavy,230000.0,223.5844209057259,508.31627919762445,11,0.4939002763676144,1.2482809488819833,11.129542032025894,783401.1073235981,true,229.49101071435166,446.46336518951654,1.289858413712688,0.9742622171115115,66.51990032698347,-5.9065898086257675
A333,224.84768101753386,557.5506447630133,wide,heavy,242000.0,272.443584021379,599.1857341382993,11,0.48632351400824503,1.2814931231288442,10.306837848950215,820134.4611168844,true,155.7730222715413,260.5285087468555,1.4434314603306766,1.7489779683831215,69.07465874599256,116.67056174983773
A359,249.587830864624,482.252485882887,wide,heavy,280000.0,278.0375291088805,440.79678420108183,11,0.9065957900526045,1.2876102078690044,47.888749464509935,458070.8428286358,true,118.33396447884331,245.38360513252186,2.1091816873020197,2.3496003901617803,131.2538663857807,159.7035646300372
B738,177.84044409393303,265.0750741707735,narrow,light,79000.0,218.46176860270867,300.7716277562929,11,0.4661082050097221,0.5672897070920094,36.06125889241005,353743.6829519205,true,44.296606727448776,67.38492993863696,4.014764498512538,4.931794661990146,133.54383736648424,174.1651618752599
B772,258.31195632964875,478.01825038132256,wide,heavy,297000.0,238.47334524158674,474.86047526956213,11,1.4558679544888795,1.5763587303481559,62.433333901686574,770062.5074883285,true,238.49835742773098,344.25642158663584,1.0830764585367076,0.999895126379846,19.81359890191777,-0.025012186144238058
B77W,1055.3428027195043,1389.2226869086583,wide,heavy,351500.0,890.1223593394049,1162.7272125139602,11,1.9219375669223144,2.157933679506431,22.50199458406218,255136.33250328223,true,328.1155526664588,569.1198115277891,3.2163754328107026,2.712831964549532,727.2272500530455,562.006806672946
B788,185.60205694208935,338.31698801973613,wide,heavy,228000.0,142.92156649118905,288.21751044604673,11,0.7778471162778333,1.3060438185897771,17.1452756139719,263129.89785226877,true,136.87347222225395,231.3676007368079,1.356011898643956,1.0441874833065845,48.728584719835396,6.0480942689351025
B789,130.20817261849032,324.2678156319288,wide,heavy,254000.0,209.97034712833027,403.6225167691758,11,0.7896685053029929,1.0851567393495323,16.225386098608983,277046.04248979833,true,133.42627503080166,235.71282057998053,0.9758810443327716,1.5736806493313127,-3.218102412311339,76.54407209752861
