approach,model,mae,rmse,r2
A: Energy+Weather,XGB,83.75996267132038,212.02664464286195,0.9433045738500325
A: Energy+Weather,LGBM,86.67464789028236,208.60692151450004,0.9451186771544875
A: Energy+Weather,CatBoost,91.32106366974458,211.44613420634732,0.9436146031027697
B: Energy+Weather+Mass,XGB,84.64564977257923,217.9154284386621,0.9401115460580299
B: Energy+Weather+Mass,LGBM,86.74487639852622,214.98426456816082,0.9417118206855258
B: Energy+Weather+Mass,CatBoost,91.18304684943278,211.36734290173376,0.9436566171245464
C: Mass only,XGB,86.01909679850382,224.19662956225014,0.936609335908237
C: Mass only,LGBM,86.90387553885967,213.236166906967,0.9426558820384531
C: Mass only,CatBoost,91.08848890989037,212.14442215254593,0.9432415694977022
D: Mass+OpenAP,XGB,85.2847071818454,220.1046896177453,0.9389021772121516
D: Mass+OpenAP,LGBM,87.14493157676283,215.45920530420753,0.9414539970741214
D: Mass+OpenAP,CatBoost,91.91977282413932,214.12741775587745,0.9421755244976471
OpenAP Hybrid (ref),XGB,86.30553201747955,224.1164797847097,0.9366546518387864
OpenAP Hybrid (ref),LGBM,89.1253805314312,215.7619945513017,0.9412893296490258
OpenAP Hybrid (ref),CatBoost,95.56653207150183,220.03667945212047,0.9389399286211312
