sparsity_bucket,approach,physics,n_train,n_test,mae,rmse,r2,physics_mae_gain_kg
Dense,Full Hybrid,Yes,9829,2432,151.5122426139272,281.1546501322293,0.9158692078294106,5.154096583462433
Dense,No Physics,No,9829,2432,156.66633919738965,299.92023708114806,0.9042638457191203,5.154096583462433
Dense,OpenAP,Yes,9829,2432,1024.32612010255,2116.740479321402,-3.7686963204194175,5.154096583462433
Medium,Full Hybrid,Yes,46199,11278,48.33338641709129,110.13676699114615,0.9144366495676827,1.797905080410473
Medium,No Physics,No,46199,11278,50.13129149750176,116.66764164532145,0.9039883413615154,1.797905080410473
Medium,OpenAP,Yes,46199,11278,243.40661850503645,724.0256067473798,-2.6976941555390574,1.797905080410473
Sparse,Full Hybrid,Yes,4577,1141,74.45176897397592,175.33632559181453,0.8565254258920825,14.417052768472203
Sparse,No Physics,No,4577,1141,88.86882174244812,202.20211415244955,0.8091893872071647,14.417052768472203
Sparse,OpenAP,Yes,4577,1141,247.94094661838434,777.9534608397142,-1.8244791710237327,14.417052768472203
Very Sparse,Full Hybrid,Yes,32359,8180,129.87762720246718,311.52608016702607,0.9257633562525507,0.6880056490593915
Very Sparse,No Physics,No,32359,8180,130.56563285152657,308.1108634781319,0.9273821259841896,0.6880056490593915
Very Sparse,OpenAP,Yes,32359,8180,1204.9697716442752,2215.985525254067,-2.756326607696151,0.6880056490593915
