flight_id,rmse,aircraft_type
prc770822360,119.6971570371294,B789
prc770844923,496.05503763351976,B789
prc770860078,344.15574225184645,B789
prc770866486,221.83807594935075,A332
prc770868424,50.04167128929654,A359
prc770872129,110.13691335086965,A359
prc770876159,22.942050176597423,A20N
prc770878608,2123.0732973381464,A332
prc770879349,190.4193289387581,A20N
prc770882767,26.365541961027585,A20N
prc770888915,66.17095896214471,A20N
prc770894018,266.96611591501767,A333
prc770897620,105.38030462716755,A20N
prc770900987,368.31972548665686,B788
prc770901870,61.52141847633356,A20N
prc770903249,61.11002339803189,A320
prc770905008,92.05436981806965,A20N
prc770914339,265.72555206680903,A320
prc770917945,56.66366916952293,A359
prc770924975,55.934868206325085,B738
prc770925999,145.45169297369222,A20N
prc770943886,49.52297600033933,A21N
prc770945308,56.233101404232386,A20N
prc770953384,148.32030668901209,A359
prc770956688,222.26505755713296,A359
prc770957917,172.84028640904373,A359
prc770962194,39.61037550946983,B738
prc770962946,90.7123192598319,A332
prc770967318,107.66844508964594,A20N
prc770969316,67.24954898870415,B738
prc770970472,46.91460637292776,A321
prc770970538,236.7697671544448,A359
prc770971713,150.7539095033431,A359
prc770985618,146.1192386419216,A359
prc771005089,9.738158724149073,A20N
prc771006195,128.42464304389048,A359
prc771013263,57.96830125825499,A320
prc771029161,165.84804872995278,A332
prc771035932,39.553240960559634,A320
prc771042962,183.22028535747256,A359
prc771058580,97.54617174523352,A320
prc771059362,68.78568352514064,A20N
prc771092129,138.24364424585752,A333
prc771117213,93.9996946271267,B788
prc771118541,70.97904686694936,A320
prc771119914,69.825794856939,A320
prc771126601,130.0594083851148,A20N
prc771128491,21.410663737801563,A20N
prc771131163,42.391098690919804,A20N
prc771137095,73.60568245819063,A320
prc771145140,111.0603952385473,B738
prc771152811,153.47026192629855,A359
prc771157389,85.69995117512094,A320
prc771164493,1491.8486129427781,B77W
prc771166305,18.237112070027436,A20N
prc771171884,177.20160102263205,A359
prc771186930,153.84868727260076,A359
prc771189043,288.93679305220127,A359
prc771191805,147.56310752359337,A320
prc771198945,75.73600859714486,A320
prc771215930,84.71410233140449,B738
prc771219177,77.36945905561431,A320
prc771223864,242.3655268663546,A20N
prc771224760,64.14145913142092,A321
prc771249934,38.7511339193778,A320
prc771259842,74.49196580381805,B738
prc771271404,155.45825775728107,A359
prc771278094,136.506383581786,B737
prc771278756,131.23379364621925,A359
prc771282320,203.263799713126,A332
prc771288295,79.55739597515787,A320
prc771289513,123.37886386112523,A20N
prc771302496,82.5756014600729,A20N
prc771306905,123.74309706341512,A359
prc771312865,46.06826936912536,B738
prc771317368,104.34261221586762,A320
prc771331179,40.369086115884485,A20N
prc771331220,105.84402948772318,B788
prc771332008,209.85436373141243,A20N
prc771338299,104.35640709621138,A320
prc771356475,25.98258550721289,A21N
prc771363372,131.48968791862637,A321
prc771373064,116.8667885432942,A320
prc771376009,45.65858902062371,A320
prc771377401,37.35032062548119,A20N
prc771393223,44.532628467250575,B738
prc771397938,149.38094636329663,A359
prc771400092,32.01073818946353,B738
prc771410427,118.16555058066926,A359
prc771417765,84.25467436242498,B738
prc771418973,324.6185317522571,B737
prc771433529,224.932042560221,B788
prc771447665,210.95949168558866,A359
prc771467890,588.7549744812577,A321
prc771468885,177.8185135236166,A332
prc771484672,84.95685165411163,B738
prc771492353,46.977617678788754,A320
prc771495752,183.10789272286812,B789
prc771505293,39.08341477393392,A320
prc771515607,38.79435358351838,A320
prc771515935,538.3502629737977,B789
prc771522171,96.36887234577935,B789
prc771541644,239.46007969483955,A320
prc771557617,244.79901675918558,A333
prc771561647,73.18682840321725,A21N
prc771572707,174.580675642344,B788
prc771588798,56.03034027794289,A320
prc771598868,28.111247403280352,A320
prc771600678,235.66640280997333,A320
prc771604324,50.731157362704174,A320
prc771615296,109.17384014949307,A320
prc771622596,602.3125092225932,A359
prc771643925,212.45463728634658,A359
prc771651299,15.024025846197071,A20N
prc771656348,15.80732993462754,A20N
prc771672776,167.84570211862106,B788
prc771690622,176.60107704809437,A359
prc771692553,195.76159325555423,A20N
prc771711154,78.34369635071002,A320
prc771716243,120.2815152836683,B788
prc771720828,52.97010903167243,A20N
prc771731617,39.69458673314002,A320
prc771736627,48.57348552904065,A20N
prc771756529,41.68892013098225,B738
prc771763522,101.36528721181037,A320
prc771772378,224.88483796853748,A359
prc771772700,64.79767954380233,A320
prc771773828,162.53936163590043,A359
prc771778192,48.73855831411936,A320
prc771810099,42.89747442993742,A21N
prc771819508,182.58727137519236,A321
prc771827712,149.4488348327648,A20N
prc771837094,77.2165726643266,A20N
prc771839521,28.989905007868213,A20N
prc771839701,153.26290554712915,A359
prc771844837,30.70670413920773,A20N
prc771845610,35.45889595409854,A320
prc771847987,265.75658250276086,B77W
prc771869040,100.32290880430395,A20N
prc771889673,377.90651499510466,B789
prc771904142,124.83411957959026,B788
prc771907130,27.04103494776403,A320
prc771927759,123.29723774682725,A320
prc771937680,180.09562684593453,B788
prc771946431,225.84071286214626,A359
prc771955862,147.19116901241256,A359
prc771973687,99.29783592209591,A359
prc771983171,124.82052965154605,A332
prc771992501,113.70418616697783,A20N
