protocol_id,protocol_name,rank_by,model,target,features,mae_kg,rmse_kg,r2,split,training_recipe,source_artifact,notes
A,single_model_fuel_flow,mae,XGB,fuel_flow_recovered,Flow+Energy,79.52,208.42,0.9452,flight_80_20_seed42,single_fit_train,table_fuel_flow_ablation.csv,Best Level-1 MAE overall among audited single models
A,single_model_fuel_flow,rmse,LGBM,fuel_flow_recovered,Flow+Energy,80.33,196.24,0.9514,flight_80_20_seed42,single_fit_train,table_fuel_flow_ablation.csv,Best Level-1 single-model RMSE (Fuel-Flow track)
A,single_model_fuel_flow,mae,XGB,fuel_flow_recovered,Flow+Energy+Weather,80.06,210.81,0.9440,flight_80_20_seed42,single_fit_train,table_fuel_flow.csv,
A,single_model_fuel_flow,rmse,LGBM,fuel_flow_recovered,Flow+Energy+Weather,80.71,196.41,0.9513,flight_80_20_seed42,single_fit_train,table_fuel_flow.csv,Commonly cited 196.4 RMSE
A,single_model_fuel_flow,ref,XGB,direct_kg,Direct E+W,83.76,212.03,0.9433,flight_80_20_seed42,single_fit_train,table_fuel_flow.csv,Same notebook Direct reference
B,single_model_direct,mae,XGB,direct_kg,Energy+Weather Hybrid,83.76,212.03,0.9433,flight_80_20_seed42,single_fit_train,table_v3_leaderboard.csv,Best Direct single-model MAE (V3)
B,single_model_direct,mae,XGB,direct_kg,Energy Hybrid,84.48,,,flight_80_20_seed42,single_fit_train,table_v3_leaderboard.csv,
B,single_model_direct,mae,XGB,direct_kg,OpenAP Hybrid base+physics,86.31,,,flight_80_20_seed42,single_fit_train,table_v3_leaderboard.csv,V3 hybrid baseline
B,single_model_direct,rmse,LGBM,direct_kg,Direct E+W,86.67,208.61,0.9451,flight_80_20_seed42,single_fit_train,table_fuel_flow.csv,Best Direct LGBM RMSE among single Direct E+W
B,single_model_direct,ref,OpenAP,physics_only,OpenAP enroute,655.0,1549.0,-1.98,flight_80_20_seed42,none,table_model_comparison.csv,Physics-only floor
C,stacking_direct_competition,rmse,LGBM_meta_5f_OOF,direct_kg,E+W+physics+phase stack,84.3,202.9,0.9481,flight_80_20_seed42_outer,5f_OOF_L1_then_meta,table_ensemble_final.csv,Best Direct ensemble RMSE; PRC competition track
C,stacking_direct_competition,rmse,Ridge_5f_OOF,direct_kg,E+W+physics+phase stack,84.5,203.4,0.9479,flight_80_20_seed42_outer,5f_OOF_L1_then_meta,table_ensemble_final.csv,
C,stacking_direct_competition,rmse,Optuna_CatBoost,direct_kg,tuned Direct,84.9,204.6,0.9473,flight_80_20_seed42,single_fit_tuned,final_leaderboard.csv,
C,stacking_direct_competition,rmse,Aircraft_Experts,direct_kg,experts,85.8,206.8,0.9462,flight_80_20_seed42,specialists,final_leaderboard.csv,
C,stacking_direct_competition,ref,PRC_challenge_winner,unknown,unknown,,200.83,,PRC_official,external,final_leaderboard.csv,Same-dataset competition reference only
