aircraft_type,n_flights,split
A20N,3220,train
A320,3023,train
A359,1571,train
B788,583,train
B738,551,train
A332,532,train
A21N,393,train
A321,285,train
B789,224,train
B77W,183,train
A333,156,train
B772,103,train
B744,90,train
B737,29,train
B739,28,train
B38M,20,train
A319,19,train
A306,10,train
A388,4,train
B748,3,train
B752,3,train
B77L,2,train
B763,2,train
MD11,1,train
B39M,1,train
A318,1,train
A20N,850,rank
A320,406,rank
A359,255,rank
A332,76,rank
B738,63,rank
B788,39,rank
B789,38,rank
B744,38,rank
B77W,32,rank
A333,22,rank
A21N,20,rank
A321,16,rank
B772,13,rank
A319,10,rank
B737,4,rank
B752,3,rank
A306,1,rank
B739,1,rank
B763,1,rank
A20N,1151,final
A320,645,final
A359,370,final
B738,139,final
A332,106,final
A21N,94,final
B77W,80,final
B789,58,final
B744,47,final
A333,34,final
B788,33,final
A321,24,final
B772,17,final
A319,16,final
B38M,10,final
B739,5,final
B737,3,final
A306,1,final
B77L,1,final
B734,1,final
B763,1,final
