aircraft_type,source,mtow_kg,mlw_kg,oew_kg,mfc_kg,cruise_mach,cruise_range_km,wing_area_m2,wing_span_m,mmo,max_thrust_n,engine_default
A20N,openap,79000.0,66000.0,44300.0,29700.0,0.78,6300.0,124.0,35.8,0.82,120430.0,PW1127G-JM
A320,openap,78000.0,66000.0,42600.0,24210.0,0.78,5000.0,124.0,35.8,0.82,117900.0,CFM56-5B4
A359,openap,280000.0,205000.0,142400.0,140795.0,0.85,15000.0,442.0,64.75,0.89,379000.0,Trent XWB-84
B788,openap,228000.0,172000.0,119000.0,126200.0,0.85,14800.0,377.0,60.12,0.9,268000.0,Trent 1000-E2
B738,openap,79000.0,66300.0,41400.0,26000.0,0.789,3700.0,124.6,34.32,0.82,116990.0,CFM56-7B26
A332,openap,230000.0,182000.0,120200.0,139000.0,0.82,12500.0,361.6,60.3,0.86,320300.0,Trent 772
A21N,openap,97000.0,77800.0,50000.0,33000.0,0.78,7400.0,128.0,35.8,0.82,147280.0,PW1133G-JM
A321,openap,93500.0,77800.0,48500.0,30030.0,0.78,4400.0,128.0,35.8,0.82,133450.0,CFM56-5B1
B789,openap,254000.0,193000.0,128000.0,126400.0,0.85,14000.0,377.0,60.12,0.9,350900.0,Trent 1000-K2
B77W,openap,351500.0,251300.0,167800.0,181300.0,0.84,14700.0,436.8,64.8,0.89,513900.0,GE90-115B
A333,openap,242000.0,188000.0,122780.0,139000.0,0.82,10500.0,361.6,60.3,0.86,320300.0,Trent 772
B772,openap,297000.0,213000.0,138000.0,171000.0,0.84,9600.0,427.8,60.93,0.89,408300.0,PW4090
