aircraft_type,n,n_frac,mae,rmse,bias_mean_pred_minus_actual,median_bias,sse,sse_share,mean_actual_kg,mean_pred_kg
A359,5545,0.14917944578961528,159.93613773141732,328.2173663918255,34.31188486161263,83.43081875582976,597344216.5885755,0.32753836506695705,1150.8966739606853,1185.2085588222978
B77W,713,0.019182136131288673,445.39791848566534,868.648113313062,1.8454711065689842,163.17519473276002,537993825.41555,0.2949951018176432,1631.6752007854136,1633.5206718919828
B744,334,0.00898574118913102,454.8736608103784,775.2792632854097,312.8405196264539,207.67853822916527,200753350.6508428,0.11007794572685943,1729.1960550898207,2042.0365747162743
A20N,17056,0.45886467581382834,52.87343915604675,91.46732318735235,33.396233087062974,27.466141368382694,142695121.7758319,0.07824320649893811,127.29355733958722,160.68979042665023
A332,1396,0.03755716976055959,166.11479506915526,268.249338450434,43.717074450835064,66.9602194501114,100452959.78041728,0.05508080148581443,558.4713115186246,602.1883859694597
B789,805,0.021657250470809793,166.99025137302797,339.7638637732277,50.02221993578897,74.82190327599187,92928783.9165205,0.05095511282507627,1059.69060108323,1109.7128210190187
A320,7948,0.21382835620123755,43.22875349190829,72.26693610684123,17.379441121355562,14.101949832457755,41508509.91134013,0.022760125728462526,256.008659581379,273.3881007027345
B788,350,0.009416195856873822,182.32528979821055,337.1456036485772,-23.79202294510039,-59.549389802576684,39783505.32084723,0.021814263748698534,823.1611314285715,799.369108483471
B738,1266,0.03405972558514932,69.66093296893952,131.609360675064,37.37909079842915,18.87737687173808,21928416.152700644,0.012023884011436477,289.6339802843602,327.01307108278934
A333,336,0.00903954802259887,154.72168347401535,214.3589135178237,54.36694987779178,45.03327958220004,15439113.918326054,0.008465641736302251,699.0459466666666,753.4128965444585
A321,146,0.00392789884315308,115.58562377689658,229.12375728898797,14.851152394850674,22.40002321245298,7664663.638516569,0.004202721525095092,472.9475802739726,487.7987326688232
B772,122,0.0032822168415388756,159.5806857082907,242.0140308141888,-86.49787191288807,-72.250798361541,7145636.515533598,0.00391812632760892,1830.327868852459,1743.8299969395712
A306,6,0.00016142050040355126,497.87779369881144,1056.4765389516601,445.5660122958972,-26.627529238544323,6696856.064131672,0.0036720490889848114,748.4268000000001,1193.9928122958972
B77L,7,0.00018832391713747646,577.8172001774393,822.262457903153,-492.27994667327647,-353.83687939133006,4732808.847738541,0.0025951142224423743,2071.4285714285716,1579.1486247552953
A21N,792,0.021307506053268765,41.37955978647812,67.5841701170668,23.16426327262739,19.47860360161883,3617555.0799268,0.001983593451671414,190.70055927272725,213.86482254535466
B739,29,0.0007801990852838311,193.9402368179912,249.41679660463106,141.13784818224286,163.6001280926094,1804053.414426961,0.000989206372884082,724.1379310344828,865.2757792167257
A319,221,0.005945655098197471,34.959750943063234,52.587896067803484,6.302609061911356,10.373636435000066,611172.5856372204,0.00033512079620792056,229.82805429864254,236.13066336055388
B38M,79,0.0021253699219800914,48.82751066354899,63.4208815931641,43.892405710827084,36.91502384572442,317754.4495422771,0.00017423249444049082,54.706044556962034,98.5984502677891
B763,9,0.00024213075060532688,104.84740365218444,153.64350144231236,71.49810480778183,38.37766797961107,212456.92981908453,0.00011649530288834654,443.51217777777777,515.0102825855596
B737,6,0.00016142050040355126,68.8107259002754,95.1538790590149,68.8107259002754,44.675802171623246,54325.56419986581,0.000029788028385013368,550.0,618.8107259002753
B734,4,0.00010761366693570084,114.13462126758868,115.19288953597302,114.13462126758868,116.57280344270771,53077.60719858753,0.00002910374320316807,56.699,170.83362126758868
