aircraft_type,n,n_frac,mae,rmse,bias_mean_pred_minus_actual,median_bias,sse,sse_share,mean_actual_kg,mean_pred_kg
B744,227,0.009396473217981621,684.3454314647324,1515.8198182613007,308.23625285123575,169.9482721511181,521580106.765455,0.32816300423875505,1936.2362925110135,2244.472545362249
A359,3577,0.14806689295471478,170.85659460874538,334.4999707718216,24.498426537236192,77.0519256135396,400231354.3065922,0.25181390531609865,1223.196469492871,1247.6948960301072
A332,805,0.03332229489196126,227.03976339046588,521.2518861865296,-20.59611961939936,37.97209586419518,218721340.7266769,0.13761309400603947,622.8017824596274,602.2056628402279
B77W,318,0.013163341336203328,349.28807442941775,797.5700680751978,67.86590527880354,49.57169887119423,202285528.28965324,0.12727215976319306,1342.9612033710691,1410.8271086498726
A20N,11961,0.49511548969285535,54.885772132306606,95.08897320937386,33.98207934253139,29.911167505314644,108150319.31194174,0.06804502939132813,128.9542271421453,162.9363064846767
B788,387,0.01601953804122858,257.005748451331,384.76809598140386,89.8866370465129,-32.392303454055764,57293990.73415492,0.03604770941274124,946.2362811369509,1036.1229181834638
B789,628,0.025995529431244307,140.1044134422502,228.90276459609996,61.7011835991114,77.05147162173091,32904986.701755185,0.020702858775516947,953.2726733121019,1014.9738569112134
A320,4938,0.20440433810745923,43.100602890275916,69.01254965246488,15.134346140742242,13.068088386828109,23518370.663078554,0.014797073491660293,269.80516256298097,284.9395087037232
B738,574,0.02376024505339846,59.7593031651295,109.20483236846957,32.184847954535584,12.063400419808318,6845349.1668470595,0.004306894221074943,295.210508097561,327.3953560520966
A333,191,0.007906283632751055,119.86846782558598,171.76738372660077,10.182783754243188,38.2428799549449,5635270.515445731,0.00354554799552265,521.4659685863875,531.6487523406306
B752,19,0.0007864889477605762,349.743631341114,521.4082033695611,-329.79072048904203,-230.0667512894521,5165463.776280398,0.003249959285492653,812.3191410526315,482.52842056358963
B772,98,0.0040566272042387615,128.03252324257645,159.19735671098078,-46.76854328676278,-60.628980714427826,2483692.241608799,0.0015626667831818728,1819.3877551020407,1772.6192118152776
A306,7,0.0002897590860170544,327.9721684547677,493.5297321244919,-209.8992350129138,-34.77618771419861,1705001.175436109,0.0010727370555436604,1102.857142857143,892.9579078442291
A321,122,0.0050500869277258055,54.44418716743244,89.31412986883002,10.162823459886951,15.8923576945391,973195.6828956006,0.0006123063645807728,317.5370163934426,327.6998398533296
A21N,147,0.006084940806358142,39.60420875381841,63.0318132251899,19.230062626889428,10.83156242707173,584032.393332918,0.00036745616307614596,178.94778236734697,198.17784499423638
B739,7,0.0002897590860170544,237.9528992805442,252.08818673228137,184.7517251135764,167.79687851375184,444839.17722978693,0.00027987984761939413,757.142857142857,941.8945822564335
B737,20,0.0008278831029058697,117.34943129145456,134.69838476953066,96.43170663313293,98.12737466358337,362873.0971904106,0.00022830917856492494,585.0235839999999,681.455290633133
A319,124,0.0051328752380163925,34.18678895001631,51.37120586317347,15.640591973479845,12.654086050868806,327236.098187732,0.00020588741726099654,208.90322580645162,224.5438177799315
B763,8,0.0003311532411623479,135.7050459991395,150.1790561617062,76.63313464826042,121.60940083632167,180429.99127696722,0.00011352129274908828,222.26008000000002,298.8932146482604
