feature,gain_importance,permutation_importance
duration_s,1313.0,0.9579034377365373
start_fraction_of_flight,489.0,0.0043510076699267985
std_altitude,375.0,0.0029077220851060127
end_fraction_of_flight,345.0,0.001342788462507616
mean_altitude,317.0,0.0026116840187349944
max_altitude,317.0,0.007319316293717603
n_traj_pts,308.0,0.00266188739261084
median_altitude,253.0,0.0021314960009108487
mean_groundspeed,210.0,0.0008446659957031865
mean_vertical_rate,188.0,0.0028236184190136406
max_groundspeed,146.0,0.0009410983138354201
std_groundspeed,124.0,0.00008143231554753605
climb_fraction,107.0,0.000831965613795882
aircraft_type_A20N,101.0,0.14313978833445523
descent_fraction,96.0,0.0017936796084281781
aircraft_type_A21N,81.0,0.6522389407174731
std_vertical_rate,64.0,0.00011334951804511383
cruise_fraction,58.0,-0.00008831879761692641
has_acars_in_window,25.0,0.0000874832137315984
aircraft_type_A306,2.0,0.03690073924269601
aircraft_type_A318,0.0,0.034683118571460045
