approach,model,mae,rmse,r2
Direct (E+W) ref,XGB,83.75996267132038,212.02664464286195,0.9433045738500325
Direct (E+W) ref,LGBM,86.67464789028236,208.60692151450004,0.9451186771544875
Direct (E+W) ref,CatBoost,91.32106366974458,211.44613420634732,0.9436146031027697
Flow + Energy,XGB,79.51580898236583,208.42258337434245,0.9452156274476533
Flow + Energy,LGBM,80.33439097355782,196.23593059091291,0.9514349096377359
Flow + Energy,CatBoost,83.1325019822604,199.8995174125806,0.9496046304653178
Flow + Energy+Weather,XGB,80.05567957980793,210.80927632424957,0.9439537476931211
Flow + Energy+Weather,LGBM,80.7127762650483,196.4079934431877,0.9513497069799909
Flow + Energy+Weather,CatBoost,83.49403766510108,202.40382781363678,0.9483340301936785
Flow + Energy+Weather+Mass,XGB,79.57398182796997,199.47209606188042,0.9498199089104467
Flow + Energy+Weather+Mass,LGBM,80.22545810814323,197.2014653254536,0.9509558267247481
Flow + Energy+Weather+Mass,CatBoost,82.75571406535953,203.7597160980549,0.947639498624724
Flow + Mass,XGB,80.87471516344289,206.09845349885532,0.9464306213879998
Flow + Mass,LGBM,81.2061068558447,201.49375550962694,0.948797599096836
Flow + Mass,CatBoost,83.47452863621837,205.1938824030642,0.9468998240485256
Flow + base,XGB,81.4872076225793,221.1341798550632,0.9383292979010088
Flow + base,LGBM,82.67246116644547,208.10599138358597,0.9453819349597927
Flow + base,CatBoost,87.17947363199626,214.41090015103686,0.9420223159848603
