held_out_type,n_held_flights,n_held_intervals,mae,rmse,r2
A20N,2858,34941,294.4591127894223,444.23600708648513,-3.765777927033464
A21N,359,2782,185.06837277943774,277.92055274793046,-0.5858447757360585
A320,2667,26617,147.94214224672268,202.37659794921214,0.6565932827381104
A321,266,2170,193.7545413816964,326.7425753840729,0.17685552713812647
A332,496,5058,296.01091104133513,546.6452778744574,0.7256342791877559
A333,138,1343,224.84768101753386,557.5506447630133,0.7248436448317812
A359,1452,22166,249.587830864624,482.252485882887,0.8270851174313695
B738,518,6841,177.84044409393303,265.0750741707735,-0.13212981318434647
B772,97,813,258.31195632964875,478.01825038132256,0.8982934279683389
B77W,168,1583,1055.3428027195043,1389.2226869086583,0.40699323603738335
B788,576,7406,185.60205694208935,338.31698801973613,0.7729635150263074
B789,206,2872,130.20817261849032,324.2678156319288,0.9272629947603442
