held_out_type,approach,approach_label,routing,target,feature_group,body_class,mass_class,mtow_kg,body_shift,train_narrow_frac,train_wide_frac,n_held_flights,n_held_intervals,physics_mae,mae,rmse,r2,delta_mae_vs_physics,train_seconds
A20N,global_direct_ew,Global · Direct · E+W,global,direct_fuel,ew,narrow,light,79000.0,narrow_held_wide_train,0.4844794828139265,0.5155205171860735,2858,34941,130.8496986054661,294.4591127894223,444.23600708648513,-3.765777927033464,163.6094141839562,152.15889270000002
A20N,global_flow_energy,Global · Flow+Energy,global,fuel_flow,flow_energy,narrow,light,79000.0,narrow_held_wide_train,0.4844794828139265,0.5155205171860735,2858,34941,130.8496986054661,249.60620756382588,403.538107162642,-2.9325603193938923,118.75650895835977,134.75449079999999
A20N,global_flow_per_mass_ew,Global · Flow/Mass · E+W,global,flow_per_mass,ew,narrow,light,79000.0,narrow_held_wide_train,0.4844794828139265,0.5155205171860735,2858,34941,130.8496986054661,130.95855842608287,209.69765870865064,-0.06192403561887261,0.10885982061677169,109.08271089999994
A20N,hier_body_direct_ew,Body-class · Direct · E+W,hierarchical_body,direct_fuel,ew,narrow,light,79000.0,narrow_held_wide_train,0.4844794828139265,0.5155205171860735,2858,34941,130.8496986054661,118.06987801678365,207.24405736187464,-0.03721899123014527,-12.779820588682455,127.39560699999993
A20N,hier_body_flow_energy,Body-class · Flow+Energy,hierarchical_body,fuel_flow,flow_energy,narrow,light,79000.0,narrow_held_wide_train,0.4844794828139265,0.5155205171860735,2858,34941,130.8496986054661,145.88732945288947,238.7467620099253,-0.3765160133952479,15.037630847423372,144.3329655
A21N,global_direct_ew,Global · Direct · E+W,global,direct_fuel,ew,narrow,medium,97000.0,narrow_held_wide_train,0.6309169441671892,0.3690830558328107,359,2782,359.87222405507407,185.06837277943774,277.92055274793046,-0.5858447757360585,-174.80385127563633,48.04377430000022
A21N,global_flow_energy,Global · Flow+Energy,global,fuel_flow,flow_energy,narrow,medium,97000.0,narrow_held_wide_train,0.6309169441671892,0.3690830558328107,359,2782,359.87222405507407,172.35231955120963,250.18047630360584,-0.2850681981237446,-187.51990450386444,41.620019200000115
A21N,global_flow_per_mass_ew,Global · Flow/Mass · E+W,global,flow_per_mass,ew,narrow,medium,97000.0,narrow_held_wide_train,0.6309169441671892,0.3690830558328107,359,2782,359.87222405507407,94.87299196797474,151.2533364030664,0.5302905771772921,-264.99923208709936,41.231608399999914
A21N,hier_body_direct_ew,Body-class · Direct · E+W,hierarchical_body,direct_fuel,ew,narrow,medium,97000.0,narrow_held_wide_train,0.6309169441671892,0.3690830558328107,359,2782,359.87222405507407,65.61496222662021,118.81287042131822,0.7101680074649154,-294.25726182845386,35.43679329999986
A21N,hier_body_flow_energy,Body-class · Flow+Energy,hierarchical_body,fuel_flow,flow_energy,narrow,medium,97000.0,narrow_held_wide_train,0.6309169441671892,0.3690830558328107,359,2782,359.87222405507407,59.79965084496072,95.03494919609992,0.8145674204211721,-300.0725732101133,34.153074599999854
