held_out_type,residual_mae,residual_rmse,residual_r2,body_class,n_held_flights,n_held_intervals,physics_mae,direct_mae,direct_rmse,direct_r2,flow_mae,flow_rmse,delta_mae_res_minus_dir,delta_rmse_res_minus_dir,residual_wins_mae,residual_wins_rmse,residual_beats_flow_mae,residual_beats_flow_rmse
A20N,86.83611310787998,140.6730850040288,0.5221095947175776,narrow,2858,34941,130.8496986054661,294.4591127894223,444.23600708648513,-3.765777927033464,249.60620756382588,403.538107162642,-207.62299968154232,-303.56292208245634,true,true,true,true
A21N,257.2445669966418,332.14313965942915,-1.26500893391029,narrow,359,2782,359.87222405507407,185.06837277943774,277.92055274793046,-0.5858447757360585,172.35231955120963,250.18047630360584,72.17619421720408,54.222586911498695,false,false,false,false
A320,85.3895652432819,147.95629318044254,0.8164497042863614,narrow,2667,26617,156.29522637429443,147.94214224672268,202.37659794921214,0.6565932827381104,159.57724964761195,270.02373337925957,-62.55257700344079,-54.4203047687696,true,true,true,true
A321,158.26989659087633,327.33836769292645,0.17385089713765,narrow,266,2170,251.88238685696325,193.7545413816964,326.7425753840729,0.17685552713812647,134.73333999500417,243.70532831631897,-35.484644790820084,0.5957923088535608,true,false,false,false
A332,707.935394468787,1348.5229172558106,-0.669687942097311,wide,496,5058,933.0012384806213,296.01091104133513,546.6452778744574,0.7256342791877559,223.5844209057259,508.31627919762445,411.92448342745183,801.8776393813532,false,false,false,false
A333,381.5652722524055,693.6762643930583,0.574083394919788,wide,138,1343,518.761178975728,224.84768101753386,557.5506447630133,0.7248436448317812,272.443584021379,599.1857341382993,156.71759123487166,136.12561963004498,false,false,false,false
A359,489.137650880422,865.0399589588696,0.44364017373405484,wide,1452,22166,1854.7304752872335,249.587830864624,482.252485882887,0.8270851174313695,278.0375291088805,440.79678420108183,239.54982001579796,382.78747307598263,false,false,false,false
B738,151.6638695254447,202.45671825058128,0.3395760269191407,narrow,518,6841,175.2632729611465,177.84044409393303,265.0750741707735,-0.13212981318434647,218.46176860270867,300.7716277562929,-26.17657456848832,-62.61835592019224,true,true,true,true
B772,775.235059394201,1008.3758064806557,0.5474100608967934,wide,97,813,935.6888258134002,258.31195632964875,478.01825038132256,0.8982934279683389,238.47334524158674,474.86047526956213,516.9231030645523,530.3575560993331,false,false,false,false
B77W,2760.813025690808,3637.8402186084263,-3.0663349862232776,wide,168,1583,4343.28992143047,1055.3428027195043,1389.2226869086583,0.40699323603738335,890.1223593394049,1162.7272125139602,1705.4702229713037,2248.617531699768,false,false,false,false
B788,165.82376064807764,307.5487336711279,0.8123813834612158,wide,576,7406,413.12670327766426,185.60205694208935,338.31698801973613,0.7729635150263074,142.92156649118905,288.21751044604673,-19.77829629401171,-30.768254348608252,true,true,false,false
B789,259.34597774749915,471.83088396472095,0.8460000949684943,wide,206,2872,1947.372232031768,130.20817261849032,324.2678156319288,0.9272629947603442,209.97034712833027,403.6225167691758,129.13780512900883,147.56306833279217,false,false,false,false
