held_out_type,n_intervals,n_flights,direct_mae,flow_mae,delta_mae_flow_minus_direct,direct_rmse,flow_rmse,delta_rmse,flow_wins,per_type_boot_ci_lower,per_type_boot_ci_upper,per_type_boot_p_flow_better,wilcoxon_p_interval,existing_direct_mae,existing_flow_mae
B77W,1583,168,1055.3428027195043,890.1223593394049,-165.22044338009948,1389.2226869086583,1162.7272125139602,-226.49547439469802,true,126.20908705064817,203.66547035273172,0.0,7.079781593797093e-38,1055.3428027195043,890.1223593394049
A332,5058,496,296.01091104133513,223.5844209057259,-72.42649013560924,546.6452778744574,508.31627919762445,-38.32899867683295,true,58.148666800561344,87.03231238866343,0.0,2.3391787921296032e-105,296.01091104133513,223.5844209057259
A321,2170,266,193.7545413816964,134.73333999500417,-59.02120138669224,326.7425753840729,243.70532831631897,-83.03724706775392,true,49.11856064330656,67.95046959475853,0.0,1.1990529169173603e-109,193.7545413816964,134.73333999500417
A20N,34941,2858,294.4591127894223,249.60620756382588,-44.85290522559643,444.23600708648513,403.538107162642,-40.697899923843124,true,42.08298741625776,47.54667941453913,0.0,0.0,294.4591127894223,249.60620756382588
B788,7406,576,185.60205694208935,142.92156649118905,-42.680490450900294,338.31698801973613,288.21751044604673,-50.0994775736894,true,39.38667152387515,45.82008409782971,0.0,2.202723439608555e-270,185.60205694208935,142.92156649118905
B772,813,97,258.31195632964875,238.47334524158674,-19.83861108806201,478.01825038132256,474.86047526956213,-3.1577751117604294,true,-17.110219268386135,55.10647622914977,0.1773,0.0001258292560383875,258.31195632964875,238.47334524158674
A21N,2782,359,185.06837277943774,172.35231955120963,-12.716053228228105,277.92055274793046,250.18047630360584,-27.740076444324615,true,2.6785376812467625,22.733618056300163,0.007,0.057535160962421686,185.06837277943774,172.35231955120963
A320,26617,2667,147.94214224672268,159.57724964761195,11.635107400889268,202.37659794921214,270.02373337925957,67.64713543004743,false,-14.846973017022574,-8.513271772223044,1.0,5.313767269532112e-190,147.94214224672268,159.57724964761195
A359,22166,1452,249.587830864624,278.0375291088805,28.449698244256496,482.252485882887,440.79678420108183,-41.45570168180518,false,-39.56914916994083,-16.71398383744638,1.0,1.0,249.587830864624,278.0375291088805
B738,6841,518,177.84044409393303,218.46176860270867,40.62132450877564,265.0750741707735,300.7716277562929,35.69655358551938,false,-48.778241719235496,-32.20679454059442,1.0,1.0,177.84044409393303,218.46176860270867
A333,1343,138,224.84768101753386,272.443584021379,47.595903003845166,557.5506447630133,599.1857341382993,41.63508937528593,false,-65.80587469999885,-30.21654903517785,1.0,1.0,224.84768101753386,272.443584021379
B789,2872,206,130.20817261849032,209.97034712833027,79.76217450983995,324.2678156319288,403.6225167691758,79.35470113724699,false,-91.8348727387713,-68.68323207171684,1.0,1.0,130.20817261849032,209.97034712833027
