held_out_type,body_class,mass_class,body_shift,direct_mae,flow_energy_mae,hier_flow_energy_mae,flow_delta_mae,hier_delta_mae,physics_mae
B77W,wide,heavy,wide_held_narrow_train,1055.3428027195043,890.1223593394049,578.4585567313572,-165.22044338009948,-476.8842459881471,4343.28992143047
A332,wide,heavy,wide_held_narrow_train,296.01091104133513,223.5844209057259,464.1875223793595,-72.42649013560924,168.17661133802437,933.0012384806213
A20N,narrow,light,narrow_held_wide_train,294.4591127894223,249.60620756382588,145.88732945288947,-44.85290522559643,-148.57178333653283,130.8496986054661
B772,wide,heavy,wide_held_narrow_train,258.31195632964875,238.47334524158674,214.28725084577226,-19.83861108806201,-44.02470548387649,935.6888258134002
A359,wide,heavy,wide_held_narrow_train,249.587830864624,278.0375291088805,868.0422534513086,28.449698244256496,618.4544225866846,1854.7304752872335
A333,wide,heavy,wide_held_narrow_train,224.84768101753386,272.443584021379,267.48223934836074,47.595903003845166,42.63455833082688,518.761178975728
A321,narrow,medium,narrow_held_wide_train,193.7545413816964,134.73333999500417,111.2684860426829,-59.02120138669224,-82.48605533901352,251.88238685696325
B788,wide,heavy,wide_held_narrow_train,185.60205694208935,142.92156649118905,1112.6477923250918,-42.680490450900294,927.0457353830025,413.12670327766426
A21N,narrow,medium,narrow_held_wide_train,185.06837277943774,172.35231955120963,59.79965084496072,-12.716053228228105,-125.26872193447701,359.87222405507407
B738,narrow,light,narrow_held_wide_train,177.84044409393303,218.46176860270867,70.1848680108674,40.62132450877564,-107.65557608306563,175.2632729611465
A320,narrow,light,narrow_held_wide_train,147.94214224672268,159.57724964761195,79.44558010254805,11.635107400889268,-68.49656214417463,156.29522637429443
B789,wide,heavy,wide_held_narrow_train,130.20817261849032,209.97034712833027,565.0311208332379,79.76217450983995,434.82294821474756,1947.372232031768
