held_out_type,n_train_types,nn_distance,k3_mean_distance,mahalanobis_distance,mahalanobis_cond,mahalanobis_ok
A20N,11,0.32525693999720245,0.43483692027167514,3.6518067108781094,221561.27373923903,true
A320,11,0.3348770718504125,0.3836493785556154,4.4585626767130835,308344.4515778693,true
A359,11,0.9065957900526045,1.2876102078690044,47.888749464509935,458070.8428286358,true
B788,11,0.7778471162778333,1.3060438185897771,17.1452756139719,263129.89785226877,true
B738,11,0.4661082050097221,0.5672897070920094,36.06125889241005,353743.6829519205,true
A332,11,0.4939002763676144,1.2482809488819833,11.129542032025894,783401.1073235981,true
A21N,11,0.44131164422268804,0.6158814365161454,1682.0060155521278,10749032766.519201,false
A321,11,0.3504058153947499,0.4625285995169502,521.7150464699511,2534919008.1096654,false
B789,11,0.7896685053029929,1.0851567393495323,16.225386098608983,277046.04248979833,true
B77W,11,1.9219375669223144,2.157933679506431,22.50199458406218,255136.33250328223,true
A333,11,0.48632351400824503,1.2814931231288442,10.306837848950215,820134.4611168844,true
B772,11,1.4558679544888795,1.5763587303481559,62.433333901686574,770062.5074883285,true
