distance_metric,outcome,method,dropped_type,r_loo,delta_r
nn_distance,loto_direct_mae,pearson,A20N,0.7888905091069721,0.02998574562507239
nn_distance,loto_direct_mae,pearson,A21N,0.7546550807695942,-0.004249682712305525
nn_distance,loto_direct_mae,pearson,A320,0.7506726517975543,-0.008232111684345456
nn_distance,loto_direct_mae,pearson,A321,0.7586418999192147,-0.00026286356268501176
nn_distance,loto_direct_mae,pearson,A332,0.770017089552897,0.011112326070997325
nn_distance,loto_direct_mae,pearson,A333,0.7586202999304203,-0.00028446355147937474
nn_distance,loto_direct_mae,pearson,A359,0.7692629174635711,0.010358153981671392
nn_distance,loto_direct_mae,pearson,B738,0.7538620195759826,-0.00504274390591708
nn_distance,loto_direct_mae,pearson,B772,0.8717440605853023,0.11283929710340257
nn_distance,loto_direct_mae,pearson,B77W,0.14703853175810283,-0.6118662317237968
nn_distance,loto_direct_mae,pearson,B788,0.7689677298604491,0.01006296637854942
nn_distance,loto_direct_mae,pearson,B789,0.781681008693397,0.022776245211497237
nn_distance,loto_direct_mae,spearman,A20N,0.5727272727272729,0.24405594405594422
nn_distance,loto_direct_mae,spearman,A21N,0.3090909090909091,-0.01958041958041956
nn_distance,loto_direct_mae,spearman,A320,0.27272727272727276,-0.05594405594405588
nn_distance,loto_direct_mae,spearman,A321,0.3454545454545455,0.01678321678321687
nn_distance,loto_direct_mae,spearman,A332,0.3181818181818182,-0.010489510489510467
nn_distance,loto_direct_mae,spearman,A333,0.30000000000000004,-0.0286713286713286
nn_distance,loto_direct_mae,spearman,A359,0.2545454545454546,-0.07412587412587407
nn_distance,loto_direct_mae,spearman,B738,0.3090909090909091,-0.01958041958041956
nn_distance,loto_direct_mae,spearman,B772,0.2545454545454546,-0.07412587412587407
nn_distance,loto_direct_mae,spearman,B77W,0.1272727272727273,-0.20139860139860136
nn_distance,loto_direct_mae,spearman,B788,0.3727272727272728,0.04405594405594415
nn_distance,loto_direct_mae,spearman,B789,0.4909090909090909,0.16223776223776226
nn_distance,mae_inflation_direct,pearson,A20N,-0.11916015684044391,0.1485640580749955
nn_distance,mae_inflation_direct,pearson,A21N,-0.23971284781574292,0.028011367099696483
nn_distance,mae_inflation_direct,pearson,A320,-0.25062439662329267,0.01709981829214674
nn_distance,mae_inflation_direct,pearson,A321,-0.2837095958784105,-0.015985380962971085
nn_distance,mae_inflation_direct,pearson,A332,-0.3204771244725091,-0.05275290955706968
nn_distance,mae_inflation_direct,pearson,A333,-0.3145180210627726,-0.046793806147333195
nn_distance,mae_inflation_direct,pearson,A359,-0.2600315800207474,0.007692634894692019
nn_distance,mae_inflation_direct,pearson,B738,-0.23245040066354283,0.035273814251896574
nn_distance,mae_inflation_direct,pearson,B772,-0.15326605540071409,0.11445815951472532
nn_distance,mae_inflation_direct,pearson,B77W,-0.5633638146715072,-0.2956395997560678
nn_distance,mae_inflation_direct,pearson,B788,-0.26845849954803663,-0.0007342846325972263
nn_distance,mae_inflation_direct,pearson,B789,-0.2698941513941808,-0.002169936478741419
nn_distance,mae_inflation_direct,spearman,A20N,-0.43636363636363645,0.13006993006993
nn_distance,mae_inflation_direct,spearman,A21N,-0.5090909090909091,0.05734265734265731
nn_distance,mae_inflation_direct,spearman,A320,-0.5727272727272729,-0.0062937062937064026
nn_distance,mae_inflation_direct,spearman,A321,-0.5727272727272729,-0.0062937062937064026
nn_distance,mae_inflation_direct,spearman,A332,-0.5545454545454546,0.011888111888111896
nn_distance,mae_inflation_direct,spearman,A333,-0.5454545454545455,0.020979020979020935
nn_distance,mae_inflation_direct,spearman,A359,-0.6090909090909091,-0.04265734265734267
nn_distance,mae_inflation_direct,spearman,B738,-0.5090909090909091,0.05734265734265731
nn_distance,mae_inflation_direct,spearman,B772,-0.5272727272727273,0.03916083916083912
nn_distance,mae_inflation_direct,spearman,B77W,-0.8000000000000002,-0.2335664335664337
nn_distance,mae_inflation_direct,spearman,B788,-0.5545454545454546,0.011888111888111896
nn_distance,mae_inflation_direct,spearman,B789,-0.5636363636363637,0.002797202797202747
k3_mean_distance,loto_direct_mae,pearson,A20N,0.7304962605700328,0.04955931563439153
k3_mean_distance,loto_direct_mae,pearson,A21N,0.675970052375518,-0.004966892560123282
k3_mean_distance,loto_direct_mae,pearson,A320,0.6751031283869526,-0.005833816548688642
k3_mean_distance,loto_direct_mae,pearson,A321,0.6859397670245374,0.0050028220888961306
k3_mean_distance,loto_direct_mae,pearson,A332,0.6842436237744257,0.003306678838784438
k3_mean_distance,loto_direct_mae,pearson,A333,0.7004560425174712,0.019519097581829903
k3_mean_distance,loto_direct_mae,pearson,A359,0.6951856606000981,0.014248715664456846
k3_mean_distance,loto_direct_mae,pearson,B738,0.67573335628818,-0.005203588647461288
k3_mean_distance,loto_direct_mae,pearson,B772,0.7273117789327108,0.04637483399706954
k3_mean_distance,loto_direct_mae,pearson,B77W,0.30755387244773197,-0.3733830724879093
k3_mean_distance,loto_direct_mae,pearson,B788,0.7144309295596175,0.033493984623976236
k3_mean_distance,loto_direct_mae,pearson,B789,0.7001807710448693,0.019243826109228035
k3_mean_distance,loto_direct_mae,spearman,A20N,0.7000000000000001,0.21748251748251757
k3_mean_distance,loto_direct_mae,spearman,A21N,0.46363636363636374,-0.018881118881118764
k3_mean_distance,loto_direct_mae,spearman,A320,0.3727272727272728,-0.1097902097902097
k3_mean_distance,loto_direct_mae,spearman,A321,0.5272727272727273,0.04475524475524484
k3_mean_distance,loto_direct_mae,spearman,A332,0.46363636363636374,-0.018881118881118764
k3_mean_distance,loto_direct_mae,spearman,A333,0.4727272727272727,-0.00979020979020978
k3_mean_distance,loto_direct_mae,spearman,A359,0.4727272727272727,-0.00979020979020978
k3_mean_distance,loto_direct_mae,spearman,B738,0.46363636363636374,-0.018881118881118764
k3_mean_distance,loto_direct_mae,spearman,B772,0.44545454545454555,-0.03706293706293695
k3_mean_distance,loto_direct_mae,spearman,B77W,0.3272727272727273,-0.15524475524475517
k3_mean_distance,loto_direct_mae,spearman,B788,0.5363636363636364,0.05384615384615388
k3_mean_distance,loto_direct_mae,spearman,B789,0.5090909090909091,0.02657342657342665
k3_mean_distance,mae_inflation_direct,pearson,A20N,-0.3918628471107925,0.10982208247181474
k3_mean_distance,mae_inflation_direct,pearson,A21N,-0.4766150056635696,0.025069923919037618
k3_mean_distance,mae_inflation_direct,pearson,A320,-0.5010750940305755,0.0006098355520317567
k3_mean_distance,mae_inflation_direct,pearson,A321,-0.5423091034457727,-0.040624173863165414
k3_mean_distance,mae_inflation_direct,pearson,A332,-0.490114142370059,0.011570787212548228
k3_mean_distance,mae_inflation_direct,pearson,A333,-0.4869360203264709,0.014748909256136367
k3_mean_distance,mae_inflation_direct,pearson,A359,-0.49554128674024583,0.0061436428423614076
k3_mean_distance,mae_inflation_direct,pearson,B738,-0.45976970200849,0.04191522757411725
k3_mean_distance,mae_inflation_direct,pearson,B772,-0.4504378120074159,0.05124711757519135
k3_mean_distance,mae_inflation_direct,pearson,B77W,-0.7731249956842539,-0.2714400661016466
k3_mean_distance,mae_inflation_direct,pearson,B788,-0.4839203180697291,0.017764611512878115
k3_mean_distance,mae_inflation_direct,pearson,B789,-0.5199807979318151,-0.018295868349207822
k3_mean_distance,mae_inflation_direct,spearman,A20N,-0.36363636363636365,0.11888111888111885
k3_mean_distance,mae_inflation_direct,spearman,A21N,-0.4000000000000001,0.08251748251748242
k3_mean_distance,mae_inflation_direct,spearman,A320,-0.5,-0.0174825174825175
k3_mean_distance,mae_inflation_direct,spearman,A321,-0.46363636363636374,0.018881118881118764
k3_mean_distance,mae_inflation_direct,spearman,A332,-0.5,-0.0174825174825175
k3_mean_distance,mae_inflation_direct,spearman,A333,-0.48181818181818187,0.0006993006993006312
k3_mean_distance,mae_inflation_direct,spearman,A359,-0.48181818181818187,0.0006993006993006312
k3_mean_distance,mae_inflation_direct,spearman,B738,-0.4000000000000001,0.08251748251748242
k3_mean_distance,mae_inflation_direct,spearman,B772,-0.44545454545454555,0.03706293706293695
k3_mean_distance,mae_inflation_direct,spearman,B77W,-0.7000000000000001,-0.21748251748251757
k3_mean_distance,mae_inflation_direct,spearman,B788,-0.4727272727272727,0.00979020979020978
k3_mean_distance,mae_inflation_direct,spearman,B789,-0.5363636363636364,-0.05384615384615388
mahalanobis_distance,loto_direct_mae,pearson,A20N,-0.15420002534173832,0.0005275471430599421
mahalanobis_distance,loto_direct_mae,pearson,A21N,-0.12282659161365501,0.03190098087114325
mahalanobis_distance,loto_direct_mae,pearson,A320,-0.1808090286144614,-0.026081456129663144
mahalanobis_distance,loto_direct_mae,pearson,A321,-0.13516698353996082,0.019560588944837448
