approach,model,mae,rmse,r2
Energy Hybrid,RF,84.1692164070514,226.8368282516678,0.9351075344797195
Energy Hybrid,XGB,84.48070967501623,219.10815982361342,0.9394541688106482
Energy Hybrid,LGBM,86.67273841331915,208.33888061187128,0.945259621552867
Energy Residual,RF,91.04712594113072,244.6521543298985,0.9245142053104891
Energy Residual,XGB,94.0059755525441,243.409182038042,0.9252792785207811
Energy Residual,LGBM,96.39501539959949,237.2455001060628,0.9290155681931098
No Physics,RF,87.13081701507049,232.78313443898813,0.9316607566242376
No Physics,XGB,89.45686033725492,230.56220202960472,0.9329585551625568
No Physics,LGBM,91.75753040184078,219.57652773768336,0.9391950453387671
OpenAP Hybrid,RF,86.27280214661111,228.80283502843972,0.9339778070448407
OpenAP Hybrid,XGB,86.30553201747955,224.1164797847097,0.9366546518387864
OpenAP Hybrid,LGBM,89.1253805314312,215.7619945513017,0.9412893296490258
Operational Hybrid,RF,86.16455660353293,228.579203731638,0.9341068038133604
Operational Hybrid,XGB,86.76249109868334,227.92980458069476,0.934480680350128
Operational Hybrid,LGBM,89.66654936331828,214.898796711489,0.941758156872082
Operational Residual,XGB,107.22498953156986,303.74223096531784,0.8836470229615382
Operational Residual,RF,107.49942161037498,313.12527198177764,0.8763473626725241
Operational Residual,LGBM,110.71281281553098,296.90334969276233,0.888827508825379
Residual-RF/XGB/LGBM,XGB,107.08886988009432,307.5954316396704,0.8806762468533991
Residual-RF/XGB/LGBM,RF,107.52095052777018,312.5263842465764,0.8768199098358574
Residual-RF/XGB/LGBM,LGBM,108.7151946640429,293.32691803764067,0.8914896957731665
