variant,hypothesis,expected_gain,rank_rmse,final_rmse,combined_rmse,rank_mae,final_mae,combined_mae,combined_bias,pct_overpredict,narrow_rmse,heavy_rmse,a20n_rmse,a320_rmse,a359_rmse,b77w_rmse,b744_rmse,cruise_rmse,climb_rmse,descent_rmse,ultralong_rmse,medium_rmse,delta_combined_vs_baseline,gate,gate_reason,train_oof_rmse,r1_feature_count,r1_model_key
R1b_heavy_lgbm_openap_on_raw_ensemble,R1 heavy specialist on uncalibrated ensemble,-3 to -12 kg,241.92868759537626,215.24379000435846,226.13157908604563,84.13817797050672,78.098255710444,80.47746980447275,11.722111166587284,66.5992695016958,80.62461666735177,423.02408739331315,83.28668751321423,68.82297170724088,333.172624119999,840.7032341458843,945.761168936017,243.79591003921672,209.88208666126778,125.34252926259734,437.51779745313365,94.40328353307846,-2.118960792275061,KEEP,accepted,,57,
R1_heavy_lgbm_openap_descriptors,"OpenAP continuous descriptors (MTOW, OEW, wing area, max thrust, aspect ratio, etc.) + interactions (cruise alt x dur, mean alt x dur, wing loading, thrust loading, OEW ratio) inside heavy specialist",-3 to -12 kg,241.93963894183634,215.25242339318015,226.14117497557768,84.35560126535242,78.30455410000285,80.68815045762929,12.132334874224533,67.14062092355857,80.6586270080328,423.02408739331315,83.34813169277132,68.81951985388555,333.172624119999,840.7032341458843,945.761168936017,243.83707522559968,209.73483367148572,125.25356298078175,437.5174429847503,94.43454536591226,-2.1093649027430104,KEEP,accepted,,57,lgbm
R1b_heavy_cat_openap_on_raw_ensemble,R1 heavy specialist on uncalibrated ensemble,-3 to -12 kg,235.19793581381032,220.12497906266387,226.18237679628984,83.39430771277759,79.05753833346152,80.76585549145652,13.303866863098547,67.4080354813462,80.62461666735177,423.1291407290305,83.28668751321423,68.82297170724088,342.0384217942025,844.4634890663295,821.0201269454788,245.27397847525606,198.7109446973886,125.75312821562528,433.14419158983884,102.43178950329722,-2.06816308203085,KEEP,accepted_vs_official_floor,,57,
R1_heavy_cat_openap_descriptors,"OpenAP continuous descriptors (MTOW, OEW, wing area, max thrust, aspect ratio, etc.) + interactions (cruise alt x dur, mean alt x dur, wing loading, thrust loading, OEW ratio) inside heavy specialist",-3 to -12 kg,235.20920054445617,220.13342101674323,226.19197053079748,83.61173100762328,79.26383672302036,80.97653614461308,13.714090570735795,67.94938690320897,80.6586270080328,423.1291407290305,83.34813169277132,68.81951985388555,342.0384217942025,844.4634890663295,821.0201269454788,245.31489563376553,198.55540711964127,125.66445262464275,433.1438335422634,102.4606017817948,-2.0585693475232176,KEEP,accepted_vs_official_floor,,57,cat
P2_heavy_cat_flow_on_P1base,Baseline heavy FuelFlow specialist (no R1 features),reference,234.7151814932538,221.40421827852128,226.74090279454668,83.5610585988605,79.41008708661386,81.04521573572771,11.84878045239167,67.1862770675711,80.6586270080328,424.2642619935686,83.34813169277132,68.81951985388555,343.8090838065408,830.5358203482057,883.0309862756891,244.74302386223712,204.16178559528151,130.7663050540241,437.499783831132,96.67066732177246,-1.5096370837740096,KEEP,accepted,,,
P2_heavy_lgbm_flow_on_P1base,Baseline heavy FuelFlow specialist (no R1 features),reference,242.39710669277449,217.20681359232714,227.46289765392962,85.10238965084855,80.69725326676927,82.43250119213103,14.909805976859557,67.87111922775894,80.6586270080328,425.7568155121191,83.34813169277132,68.81951985388555,336.3087442229451,856.0169142266978,936.5660630498519,246.24186716162853,205.59587422742572,123.3670217256708,440.555586602342,94.59063127504712,-0.7876422243910781,KEEP,accepted,,,
baseline_official_v1_recorded,Recorded official ensemble from notebook 17,reference_official,239.18031519148374,220.8570993417157,228.2505398783207,87.76686183616759,84.83839274737745,88.74505740577311,23.95015413541877,69.6337725019567,80.62461666735177,427.76993277147454,83.28668751321423,68.82297170724088,332.88611290729244,839.1876685295235,984.4407866692899,248.9130889308269,190.63341917270247,127.30815226050917,440.3820635171744,96.12044869128903,0.0,REFERENCE,official_v1,,,
P1E_phase_affine,Phase-conditional affine bias calibration,-0.1 kg,235.2876464162842,223.66261075954688,228.3125525456305,87.9638185304833,85.00928277892369,86.1731178083748,24.059580133639002,70.11805374380381,80.6586270080328,427.51264374382095,83.34813169277132,68.81951985388555,333.1084113547912,839.6841887106854,979.8066875888937,248.90443002471116,189.80310057378335,126.9637224419616,440.11859496056195,96.11478126399082,0.06201266730980137,,,250.86045576134427,,
session_rebuild_ensemble,Rebuilt OOF ensemble this run,reference_session,235.43178035377107,223.75780318691548,228.42758423748452,87.76686183616759,84.83839274737745,85.99195973549044,23.95015413541877,69.6337725019567,80.62461666735177,427.76993277147454,83.28668751321423,68.82297170724088,332.88611290729244,839.1876685295235,984.4407866692899,248.9130889308269,190.63341917270247,127.30815226050917,440.3820635171744,96.12044869128903,0.17704435916382977,,,,,
R1_heavy_xgb_openap_descriptors,"OpenAP continuous descriptors (MTOW, OEW, wing area, max thrust, aspect ratio, etc.) + interactions (cruise alt x dur, mean alt x dur, wing loading, thrust loading, OEW ratio) inside heavy specialist",-3 to -12 kg,244.04709126652082,230.55653884625542,235.96275437352557,85.62004955728155,82.2446461036607,83.5742671027569,17.077591684831464,67.55152621967127,80.6586270080328,443.2924710368411,83.34813169277132,68.81951985388555,334.3165497728112,861.3556662233705,1048.4505030468267,254.40590033327527,217.64735237577105,132.42210490221987,451.73522928828805,106.3868474414868,7.712214495204876,REJECT,combined_rmse not improved vs comparison baseline,,57,xgb
