variant,hypothesis,expected_gain,rank_rmse,final_rmse,combined_rmse,rank_mae,final_mae,combined_mae,combined_bias,pct_overpredict,narrow_rmse,heavy_rmse,a20n_rmse,a320_rmse,a359_rmse,b77w_rmse,b744_rmse,cruise_rmse,climb_rmse,descent_rmse,ultralong_rmse,medium_rmse,delta_combined_vs_baseline,gate,gate_reason,family,model_key,feature_count
R2a_fix_descriptors_cat,R2 descriptors ONLY (fixed B744),"",234.80769792602456,218.81693649934323,225.25148471628782,83.50044519184759,78.6840793201326,80.58131658090893,11.720492461823902,67.14714322984608,80.6586270080328,421.1836598116349,83.34813169277132,68.81951985388555,345.7472493601225,828.3285735383292,863.3091320016102,244.0320023162824,204.95315451876107,118.5613319189874,436.09568334225577,92.20708327474765,-2.9990551620328745,KEEP,accepted,R2a_fix_descriptors,cat,73
R2b_aircraft_chars_cat,R2 descriptors + aircraft chars,"",234.80769792602456,218.81693649934323,225.25148471628782,83.50044519184759,78.6840793201326,80.58131658090893,11.720492461823902,67.14714322984608,80.6586270080328,421.1836598116349,83.34813169277132,68.81951985388555,345.7472493601225,828.3285735383292,863.3091320016102,244.0320023162824,204.95315451876107,118.5613319189874,436.09568334225577,92.20708327474765,-2.9990551620328745,KEEP,accepted_vs_official_floor,R2b_aircraft_chars,cat,73
R2c_mass_proxies_cat,R2 descriptors + mass proxies,"",234.80769792602456,218.81693649934323,225.25148471628782,83.50044519184759,78.6840793201326,80.58131658090893,11.720492461823902,67.14714322984608,80.6586270080328,421.1836598116349,83.34813169277132,68.81951985388555,345.7472493601225,828.3285735383292,863.3091320016102,244.0320023162824,204.95315451876107,118.5613319189874,436.09568334225577,92.20708327474765,-2.9990551620328745,KEEP,accepted_vs_official_floor,R2c_mass_proxies,cat,73
R2d_cruise_features_cat,R2 descriptors + cruise features,"",234.80769792602456,218.81693649934323,225.25148471628782,83.50044519184759,78.6840793201326,80.58131658090893,11.720492461823902,67.14714322984608,80.6586270080328,421.1836598116349,83.34813169277132,68.81951985388555,345.7472493601225,828.3285735383292,863.3091320016102,244.0320023162824,204.95315451876107,118.5613319189874,436.09568334225577,92.20708327474765,-2.9990551620328745,KEEP,accepted_vs_official_floor,R2d_cruise_features,cat,73
R2e_physics_interactions_cat,R2 descriptors + physics interactions,"",234.80769792602456,218.81693649934323,225.25148471628782,83.50044519184759,78.6840793201326,80.58131658090893,11.720492461823902,67.14714322984608,80.6586270080328,421.1836598116349,83.34813169277132,68.81951985388555,345.7472493601225,828.3285735383292,863.3091320016102,244.0320023162824,204.95315451876107,118.5613319189874,436.09568334225577,92.20708327474765,-2.9990551620328745,KEEP,accepted_vs_official_floor,R2e_physics_interactions,cat,73
R2f_full_stack_cat,ALL R2 families combined,"",234.80769792602456,218.81693649934323,225.25148471628782,83.50044519184759,78.6840793201326,80.58131658090893,11.720492461823902,67.14714322984608,80.6586270080328,421.1836598116349,83.34813169277132,68.81951985388555,345.7472493601225,828.3285735383292,863.3091320016102,244.0320023162824,204.95315451876107,118.5613319189874,436.09568334225577,92.20708327474765,-2.9990551620328745,KEEP,accepted_vs_official_floor,R2f_full_stack,cat,73
R1_heavy_cat_descriptors,"","",237.7822023724165,219.07776448474658,226.6300720830699,84.0704911040625,79.3656159755764,81.21893539499276,13.752302124773347,67.45043047221498,80.6586270080328,424.03510166774356,83.34813169277132,68.81951985388555,346.60409632140403,829.4399950731384,886.9217973936353,245.63718037381,203.50053193034836,121.70404026050548,438.66301862489314,94.38105577361907,-1.6204677952507893,KEEP,accepted,R1,,
P2_heavy_cat_baseline,"","",234.7151814932538,221.40421827852128,226.74090279454668,83.5610585988605,79.41008708661386,81.04521573572771,11.84878045239167,67.1862770675711,80.6586270080328,424.2642619935686,83.34813169277132,68.81951985388555,343.8090838065408,830.5358203482057,883.0309862756891,244.74302386223712,204.16178559528151,130.7663050540241,437.499783831132,96.67066732177246,-1.5096370837740096,KEEP,accepted,,,
P2_heavy_lgbm_baseline,"","",242.39710669277449,217.20681359232714,227.46289765392962,85.10238965084855,80.69725326676927,82.43250119213103,14.909805976859557,67.87111922775894,80.6586270080328,425.7568155121191,83.34813169277132,68.81951985388555,336.3087442229451,856.0169142266978,936.5660630498519,246.24186716162853,205.59587422742572,123.3670217256708,440.555586602342,94.59063127504712,-0.7876422243910781,KEEP,accepted,,,
baseline_official_v1,"","",239.18031519148374,220.8570993417157,228.2505398783207,87.76686183616759,84.83839274737745,85.99195973549044,23.95015413541877,69.6337725019567,80.62461666735177,427.76993277147454,83.28668751321423,68.82297170724088,332.88611290729244,839.1876685295235,984.4407866692899,248.9130889308269,190.63341917270247,127.30815226050917,440.3820635171744,96.12044869128903,0.0,REFERENCE,official_v1,,,
