variant,hypothesis,expected_gain,rank_rmse,final_rmse,combined_rmse,rank_mae,final_mae,combined_mae,combined_bias,pct_overpredict,narrow_rmse,heavy_rmse,a20n_rmse,a320_rmse,a359_rmse,b77w_rmse,b744_rmse,cruise_rmse,climb_rmse,descent_rmse,ultralong_rmse,medium_rmse,delta_combined_vs_baseline,feature_count,model_key,gate,delta_vs_baseline
R3_lgbm_dynamic_mass,"","",238.64366783888292,214.33520056345523,224.22546751293143,80.54619197140228,74.6927015089834,76.99847737956642,0.9818071029304964,59.8503130707018,76.91024963706056,420.95514990613214,77.29431570118197,70.7739577120335,330.87063818673374,863.4918896305655,888.2622119180387,244.6507115923076,191.04026095772468,117.11833814609075,437.276813568471,88.7351111074978,-4.0250723653892635,60,lgbm,,-5.956651389918278
R3_mass_R2_heavy_cat,R3 dynamic mass + R2 heavy specialist,"",234.80769792602456,218.81693649934323,225.25148471628782,83.50044519184759,78.6840793201326,80.58131658090893,11.720492461823902,67.14714322984608,80.6586270080328,421.1836598116349,83.34813169277132,68.81951985388555,345.7472493601225,828.3285735383292,863.3091320016102,244.0320023162824,204.95315451876107,118.5613319189874,436.09568334225577,92.20708327474765,-2.9990551620328745,,,,-4.930634186561889
R3_ablate_tow_landing,"","",241.64874928535448,214.06950415723728,225.33667335027064,80.577935110019,75.33078849426307,77.39771661752539,-3.2632426492069078,57.270740933994254,80.80151129776435,421.16345498133154,79.73426922660444,73.41601846672094,328.3017202045787,861.5946100693583,920.587825767139,245.54546780612566,192.97286971552546,119.70749949209805,436.8217126928543,93.54396050160643,-2.9138665280500504,42,lgbm,,-4.845445552579065
R3_ablate_consumption,"","",241.37593567018317,217.50716034760828,227.20894244457884,82.66828957753722,76.70751971728711,79.05555451842073,3.118789410184919,60.363944690842686,82.0233480147286,424.35927640996056,78.98177314595908,81.28031720883722,334.84810603804726,860.4120881153226,937.4250863673511,246.06614872604092,204.7595058949657,123.03020154658351,440.88560181702104,94.65482694682932,-1.041597433741856,43,lgbm,,-2.9731764582708706
R3_cat_dynamic_mass,"","",237.81780200174282,221.466576221451,228.04755985209155,80.63455762912326,75.19998650916217,77.34074389756584,1.8818528742388014,63.99523871641012,78.79530828585423,427.8720661762234,78.98344383234837,75.3143556132589,349.5789306256873,866.2136452960817,836.5872891194638,249.32022624128098,185.39834737102478,124.74310260362638,441.789882165995,96.15912753151969,-0.20298002622914169,60,cat,,-2.134559050758156
R3_ablate_phase_mass,"","",245.3157909935226,218.1031664647286,229.2086139903758,83.7099443712101,78.19595619591924,80.36799712891357,7.081640895552301,60.04924341247065,85.57577274998626,426.5289256887296,79.6003447716633,72.7671977569217,325.7284129065022,859.1310754290502,999.4670909526019,247.22542960287728,213.51178373956557,124.959209422624,441.93828141824736,100.51195140791273,0.9580741120551011,42,lgbm,,-0.9735049124739135
R3_ablate_interval_stats,"","",245.2001142604789,219.17235024589274,229.77728193181878,82.60357812716587,76.5963178984704,78.96266593859605,4.590366255547767,59.06763631620141,81.35952622599535,430.09323753832234,77.21883874038197,79.03454471964716,329.9718849337999,879.2674438513349,998.4649900089473,250.82641595796744,187.84412951036816,128.25675905459744,445.83350629802345,96.58341703325715,1.526742053498083,45,lgbm,,-0.40483697103093164
R3_baseline_no_mass,"","",249.83028795898275,216.45797514775685,230.1821189028497,86.34536621988102,79.98547155426951,82.49072747867342,7.315464186918083,62.566853639446904,84.33208545611178,429.19141776996685,83.09917504613334,71.35719690585142,326.9986825022909,863.6263706873476,1012.0430554366222,249.12897329725297,206.2913166404454,127.61532004639155,444.8198859419313,97.48190533032924,1.9315790245290145,39,lgbm,BASELINE,
R3_xgb_dynamic_mass,"","",236.60926403295798,226.54085697895002,230.55944251062456,78.47459224189673,73.62467101989398,75.5351262260175,-1.1447241025543342,60.380250456561434,76.02629251981695,434.56365162554096,76.4394704998163,71.92247733330716,337.8574807071211,871.8439897584534,956.5617133827749,250.91893069314574,207.23216503876614,112.88535695662235,446.7023141328133,88.99038379834913,2.3089026323038695,60,xgb,,0.37732360777485496
R3_ablate_energy_mass,"","",249.95134235390805,217.09881542677292,230.59929562236738,81.75289122858445,75.54269019528323,77.98897959918506,2.158871150764559,59.405165666579705,77.6464786343525,433.7251713751592,77.44518628875262,72.07649828166178,334.2835077999003,873.2285667452323,1010.4118331749992,251.04074015613287,195.07085822641457,127.77223557686997,451.31856931926467,89.77997341170023,2.3487557440466844,44,lgbm,,0.4171767195176699
