route,n_flights,split
MSLP-KIAD,229,train
KIAD-MSLP,204,train
ZSPD-YSSY,161,train
MMGL-KLAX,158,train
SEGU-KJFK,144,train
MSLP-KLAX,138,train
KJFK-SEGU,138,train
SKBO-LEMD,134,train
LEMD-SKBO,133,train
MSLP-KJFK,127,train
KJFK-MSLP,118,train
KLAX-MSLP,114,train
KOAK-MMGL,103,train
KBOS-KMCO,99,train
NZAA-ZSPD,98,train
ZSPD-YMML,98,train
KJFK-SEQM,97,train
SEQM-KJFK,93,train
MMGL-KOAK,87,train
ZSPD-NZAA,86,train
MGGT-KLAX,86,train
KMCO-KBOS,81,train
KLAX-YSSY,80,train
KBOS-KFLL,73,train
YSSY-ZSPD,72,train
KLAX-NFFN,71,train
KLAX-MGGT,71,train
ZSPD-LEMD,67,train
KBOS-KMYR,64,train
KJFK-EDDP,61,train
KORD-MMGL,60,train
KMYR-KBOS,59,train
MMGL-KORD,57,train
KSMF-MMGL,55,train
SAEZ-SKBO,54,train
KFLL-KBOS,53,train
LROP-EHAM,52,train
KBOS-KBWI,52,train
SKRG-KJFK,52,train
LEMD-ZSPD,52,train
MMGL-KSJC,51,train
KBOS-KATL,51,train
KATL-KBOS,48,train
SKBO-SAEZ,47,train
LGAV-EHAM,45,train
KSJC-MMGL,45,train
MROC-KMIA,44,train
KJFK-HECA,43,train
KBWI-KBOS,43,train
KJFK-SKRG,42,train
MSLP-KIAD,73,rank
KIAD-MSLP,63,rank
MSLP-KJFK,41,rank
KJFK-MSLP,33,rank
MSLP-KLAX,30,rank
KOAK-MMGL,30,rank
KJFK-SEGU,27,rank
SEGU-KJFK,26,rank
ZSPD-YSSY,25,rank
MMGL-KOAK,23,rank
KMIA-MROC,22,rank
SEQM-KJFK,22,rank
NZAA-ZSPD,21,rank
MROC-KMCO,20,rank
ZSPD-LEMD,20,rank
SKRG-KJFK,19,rank
KJFK-SEQM,19,rank
KMCO-MROC,19,rank
ZSPD-YMML,18,rank
KLAX-YSSY,17,rank
LEMD-SKBO,17,rank
KJFK-SKBO,16,rank
LEMD-ZSPD,16,rank
SKBO-KJFK,16,rank
SAEZ-SKBO,16,rank
MMGL-KSMF,15,rank
SKBO-SAEZ,15,rank
KLAX-MSLP,15,rank
MSLP-KSFO,15,rank
KSFO-MSLP,15,rank
MROC-KMIA,14,rank
KJFK-EDDP,14,rank
KSMF-MMGL,14,rank
MMGL-KORD,14,rank
KORD-MMGL,13,rank
MNMG-KMIA,13,rank
KMIA-MHLM,12,rank
MSLP-KMIA,12,rank
LFPG-SKBO,12,rank
KSFO-VVTS,11,rank
KMIA-MNMG,11,rank
KSJC-MMGL,11,rank
ZSPD-NZAA,11,rank
MGGT-KLAX,11,rank
YSSY-ZSPD,10,rank
SAEZ-SEQM,10,rank
KIAD-MGGT,10,rank
KJFK-SKRG,10,rank
MHLM-KMIA,10,rank
EFHK-EHAM,10,rank
MSLP-KIAD,107,final
KIAD-MSLP,90,final
MSLP-KJFK,59,final
KJFK-MSLP,46,final
MSLP-KLAX,37,final
KOAK-MMGL,35,final
ZSPD-YSSY,34,final
SEGU-KJFK,34,final
KJFK-SEGU,32,final
KJFK-SKBO,32,final
KSFO-MSLP,32,final
SKBO-KJFK,31,final
MMGL-KOAK,31,final
ZSPD-VHHH,29,final
SKRG-KJFK,29,final
ZSPD-LEMD,28,final
MSLP-KSFO,28,final
SKBO-SAEZ,28,final
NZAA-ZSPD,25,final
SAEZ-SKBO,25,final
SKBO-CYYZ,24,final
ZSPD-LFPG,22,final
ZSPD-YMML,22,final
ZSPD-VMMC,21,final
MMGL-KSJC,21,final
SEQM-KJFK,21,final
KJFK-SKRG,21,final
KJFK-SEQM,21,final
MROC-KMCO,19,final
KMCO-MROC,19,final
KSJC-MMGL,19,final
MMGL-KSMF,18,final
KMIA-MROC,18,final
OMDB-EGPH,18,final
MNMG-KMIA,18,final
KSMF-MMGL,18,final
EFHK-EHAM,18,final
LEMD-ZSPD,17,final
KLAX-YSSY,17,final
CYYZ-SKBO,17,final
ZSPD-NZAA,16,final
SKBO-KIAD,15,final
ZSPD-EGKK,15,final
KMIA-MHLM,15,final
MGGT-KIAD,14,final
KIAD-MGGT,14,final
SKBO-MMUN,14,final
EDDP-KJFK,14,final
KJFK-EDDP,14,final
SKBO-KORD,13,final
