feature,feature_group,mean_abs_shap,mean_signed_shap,rank
duration_s,trajectory,278.21905950209305,18.084967137733738,1
physics_fuel_kg,physics,157.14508605353947,-31.044340343587816,2
ref_mass_kg,energy,142.46940352660596,17.452978578030557,3
aircraft_type,categorical,65.486578612685,4.733637047273595,4
mean_kinetic_energy_j,energy,53.54786215814453,7.605524299912198,5
energy_efficiency,energy,25.23527834442942,2.0276329469515044,6
phase,categorical,20.855955337580994,0.7092203827927823,7
start_fraction_of_flight,trajectory,12.671980404135805,0.07201593045351735,8
end_fraction_of_flight,trajectory,12.063370408513638,-0.393121780635056,9
mean_potential_energy_j,energy,11.722833177961048,-1.8361459917469194,10
destination_icao,categorical,8.898706295853554,2.170263764730185,11
cumulative_energy_change_jpkg,energy,6.730114247284692,-0.16452185976510508,12
energy_rate_jpkg_s,energy,6.421478233042412,-2.911886417822753,13
descent_fraction,trajectory,6.199081530768372,1.2392452266230067,14
std_altitude,trajectory,6.030303243814236,0.5706167534603337,15
mean_vertical_rate,trajectory,5.350458278712781,-0.34091054210898886,16
median_altitude,trajectory,5.08833299389296,0.7747239135544954,17
mean_altitude,trajectory,5.0094927005347385,-0.6327528599373816,18
n_traj_pts,trajectory,4.927298874130612,0.9633503751377686,19
origin_icao,categorical,4.874689918536868,1.1686202319657266,20
max_altitude,trajectory,4.652470411102001,-0.23984425632449025,21
method,categorical,4.287178337755899,-2.1970371211562583,22
energy_change_jpkg,energy,4.002269003086173,0.15604692701522332,23
specific_energy_start,energy,3.5905361404860736,1.4095475140291083,24
density_altitude_m,weather,2.960775422559122,-2.4104617665286003,25
mean_specific_energy_jpkg,energy,2.654072910444959,-1.3785045305391825,26
specific_energy_end,energy,2.576458474321887,1.6174686356764978,27
climb_fraction,trajectory,2.4207717314509205,0.3233814128862664,28
std_groundspeed,trajectory,2.3718245441258814,-0.09370040899960584,29
cruise_fraction,trajectory,2.3324360899338035,0.7794564135434349,30
climb_efficiency,energy,2.3230923661619842,1.7748978667036845,31
max_groundspeed,trajectory,1.0403408612165121,-0.41500655803154085,32
temperature_k,weather,0.9440258027736661,0.2043754129916815,33
mean_groundspeed,trajectory,0.9246383672175862,0.2412093961188428,34
headwind_mps,weather,0.7359764763891906,-0.5477191998519523,35
isa_deviation_k,weather,0.5335515796669605,0.24694403024580547,36
pressure_pa,weather,0.3522212512704487,0.0634591553195937,37
std_vertical_rate,trajectory,0.34247196339136393,0.08349492828991033,38
crosswind_mps,weather,0.2723328283232809,-0.10238903604668102,39
has_acars_in_window,trajectory,0.21590605754853964,-0.18781692852389525,40
