layer,head,mean_entropy,spearman_vs_ft_advantage
0,0,0.0031302672157581994,-0.23571428571428568
0,1,0.0001275993536630627,-0.07252406676228422
0,2,0.020556579375418382,0.017857142857142853
0,3,0.05202772591343638,0.0035714285714285704
0,4,0.011367605548166342,-0.42857142857142855
0,5,0.8167599543966106,-0.14285714285714282
0,6,0.01546055429431969,-0.2071428571428571
0,7,0.00003060120337994338,-0.007142857142857141
1,0,3.6891282291286633,0.2642857142857143
1,1,3.537787207791906,-0.035714285714285705
1,2,2.4515926899335816,0.2571428571428571
1,3,0.7783281935872792,-0.2571428571428571
1,4,0.45017567564496874,-0.0964285714285714
1,5,1.4587803690325234,-0.08214285714285713
1,6,0.21772910795456066,-0.23928571428571427
1,7,0.31903971091082556,-0.3178571428571428
2,0,3.945592393867425,0.09285714285714285
2,1,3.0019083835253726,0.1607142857142857
2,2,3.8531722873184737,0.23571428571428568
2,3,4.013289685662408,0.09285714285714285
2,4,3.335448174316908,-0.2071428571428571
2,5,3.6268376664381563,-0.08928571428571427
2,6,3.576652783612458,-0.10714285714285714
2,7,3.957005440287607,0.06428571428571428
