epoch,train_loss,train_rmse,train_mae,train_bias,train_r2,val_rmse,val_mae,val_bias,val_r2,val_teacher_rmse,train_teacher_rmse,lr
1.0,1065126.7885638298,1054.116800238524,550.190673828125,-549.7454223632812,-0.37347916958271354,1026.471081690578,541.24755859375,-540.7833251953125,-0.38407091875462895,244.14115486523167,251.78373587017313,0.001
2.0,1042811.465425532,1044.0924856980093,532.0590209960938,-530.2348022460938,-0.3474806812306417,1016.3458772807259,523.2410888671875,-521.2727661132812,-0.3569003856013335,244.14115486523167,251.78373587017313,0.001
3.0,1020070.3337765958,1032.4098833621406,513.4735107421875,-506.8604431152344,-0.3174948127361463,1004.549670019441,504.77362060546875,-497.8769836425781,-0.3255854756061336,244.14115486523167,251.78373587017313,0.001
4.0,993139.2646276596,1019.4450211136964,494.28497314453125,-480.2724914550781,-0.2846127419028426,991.4634578355442,485.8327941894531,-471.2731018066406,-0.2912737739224087,244.14115486523167,251.78373587017313,0.001
5.0,966424.8417553192,1005.25109962316,473.8699645996094,-461.01434326171875,-0.24908996922902893,977.1285418814109,465.6710205078125,-452.6079406738281,-0.2542043554518263,244.14115486523167,251.78373587017313,0.001
6.0,937677.1489361703,990.1245223526308,453.4189758300781,-438.955322265625,-0.21178128445363953,961.8476587056364,445.49639892578125,-431.0645751953125,-0.2152831896462999,244.14115486523167,251.78373587017313,0.001
7.0,907576.2752659575,974.1854314108704,432.5421142578125,-415.65911865234375,-0.17308064214497287,945.7387222418106,424.9451904296875,-408.28253173828125,-0.17491716435484395,244.14115486523167,251.78373587017313,0.001
8.0,877265.9747340425,957.5222079611102,415.09967041015625,-395.1562194824219,-0.13329329138896773,928.8976358408299,407.6230163574219,-387.9105224609375,-0.1334454445181561,244.14115486523167,251.78373587017313,0.001
9.0,843299.8164893617,940.1446953508414,396.954345703125,-375.1199951171875,-0.09253159942592903,911.3287766125983,389.4172058105469,-367.83648681640625,-0.09097569212063239,244.14115486523167,251.78373587017313,0.001
10.0,808199.0558510638,922.189558081654,378.5076599121094,-355.68341064453125,-0.051199166654868566,893.1815820694578,370.9777526855469,-348.4329528808594,-0.04795931997471081,244.14115486523167,251.78373587017313,0.001
11.0,775809.590425532,903.8064623321123,361.3583984375,-334.6159362792969,-0.00970728953375688,874.6057193742956,353.9396667480469,-327.3326721191406,-0.004822918911639773,244.14115486523167,251.78373587017313,0.001
12.0,740287.1795212766,885.153801075667,346.6541442871094,-311.9344177246094,0.03153911571472934,855.7534938571196,339.5628967285156,-304.66546630859375,0.03802836138954957,244.14115486523167,251.78373587017313,0.001
13.0,708958.5425531915,866.0565193446629,332.4281921386719,-295.9252624511719,0.07287759251602022,836.4880432461173,325.5031433105469,-289.1130676269531,0.08085425448280559,244.14115486523167,251.78373587017313,0.001
14.0,675346.8763297872,846.5908690772693,318.1625671386719,-279.5348815917969,0.11408558712353101,816.8376454847026,311.3703918457031,-273.10064697265625,0.1235313314044234,244.14115486523167,251.78373587017313,0.001
