aircraft_type,body_class,n,teacher_rmse,large_rmse,xlarge_rmse,ft_rmse,large_gap
B772,widebody_heavy,122,221.02335587581487,363.6885097046617,400.1407736820848,221.11691754299372,142.66515382884685
B38M,narrowbody,79,70.4618956306348,107.44854871321216,108.44333674921334,69.22380036778915,36.98665308257736
A333,widebody_heavy,336,218.66818847986787,245.3987165133455,247.2440794528056,210.8191613074381,26.73052803347764
B789,widebody_heavy,805,335.4687619310249,347.87334430385954,354.54322000772413,332.5093235932069,12.404582372834625
B738,narrowbody,1266,83.0023059969101,90.97463208520034,85.21530356370528,92.11493887180602,7.972326088290245
A321,narrowbody,146,212.56284651584397,217.95460736688386,214.7894789804544,204.15581084525928,5.391760851039891
A359,widebody_heavy,5545,331.48419367220987,335.448624734567,338.06985359095665,352.26497339768054,3.9644310623571073
B77W,widebody_heavy,713,854.6356800881525,857.225651034112,861.3956404039109,906.867847910566,2.5899709459595215
A319,narrowbody,221,52.10645599107258,53.494598912650794,55.5011411175492,75.22069846082437,1.3881429215782148
A320,narrowbody,7948,70.33169350003156,69.99876581370621,68.26344979034224,80.3199554521604,-0.3329276863253483
A20N,narrowbody,17056,73.68447023851856,72.09915454349503,71.34001870556317,78.78833553958256,-1.5853156950235245
B744,widebody_heavy,334,682.0424820599463,680.2383816893663,712.0513752389952,684.8812886292628,-1.804100370580045
A21N,narrowbody,792,62.42522477215696,59.742257182027494,54.69432360577255,60.73646468249201,-2.682967590129465
B788,widebody_heavy,350,310.45380671169823,303.2114696597698,303.7345061394376,288.9194650344778,-7.242337051928416
A332,widebody_heavy,1396,273.54338543507725,254.36212762662075,264.7825227957836,259.2474447283404,-19.181257808456508
