group,n,large_rmse,ft_rmse,large_mae,ft_mae,delta_rmse_ft_minus_large,frac_ft_better,train_n
B772,122,363.6885097046617,221.11691754299372,217.71589835745377,150.57186839619627,-142.571592161668,0.5573770491803278,813
B38M,79,107.44854871321216,69.22380036778915,87.02842983036861,48.89796802887351,-38.22474834542301,0.9620253164556962,173
A333,336,245.3987165133455,210.8191613074381,161.70720577283586,143.04220708885555,-34.57955520590741,0.5952380952380952,1345
B789,805,347.87334430385954,332.5093235932069,156.47188272619735,133.59974491848791,-15.364020710652653,0.577639751552795,2905
B788,350,303.2114696597698,288.9194650344778,170.23206655203683,167.3421944642857,-14.292004625292009,0.6057142857142858,7406
A321,146,217.95460736688386,204.15581084525928,121.3902551515971,108.77477924576016,-13.798796521624581,0.7054794520547946,2406
A21N,792,59.742257182027494,60.73646468249201,43.567193368979865,37.35854391761102,0.994207500464519,0.5984848484848485,2870
B738,1266,90.97463208520034,92.11493887180602,49.98979653866061,50.000796468229126,1.1403067866056773,0.5402843601895735,7076
B744,334,680.2383816893663,684.8812886292628,439.06017480731896,455.1168999495637,4.642906939896534,0.3562874251497006,509
A332,1396,254.36212762662075,259.2474447283404,153.45070315629667,138.36390447166812,4.885317101719636,0.5773638968481375,5064
A20N,17056,72.09915454349503,78.78833553958256,37.23220438159184,36.795762720631714,6.689180996087529,0.5664868667917449,35662
A320,7948,69.99876581370621,80.3199554521604,39.61498915910955,43.73163877864217,10.321189638454186,0.3905385002516356,28188
A359,5545,335.448624734567,352.26497339768054,141.4526202084974,140.74572608732097,16.81634866311356,0.45680793507664563,22273
A319,221,53.494598912650794,75.22069846082437,33.621310333321,43.31001211830933,21.726099548173572,0.4253393665158371,233
B77W,713,857.225651034112,906.867847910566,478.6497799971415,396.38687115322995,49.64219687645391,0.6746143057503506,1584
