feature,large_attr,ft_attr,abs_diff
duration_s,0.1461900029757097,0.405539889281291,0.2593498863055813
r3_tow_kg,0.008986481377477356,0.06269358201442668,0.05370710063694932
r3_mass_consumed_kg,0.07652930010330271,0.030821474809410096,0.04570782529389261
r3_mass_rate_kgps,0.04941007887825866,0.0053508432245134565,0.044059235653745206
physics_fuel_kg,0.04794521655818292,0.005135658663814399,0.04280955789436852
r3_fuel_fraction,0.07562369814814585,0.03376213673316784,0.04186156141497801
end_fraction_of_flight,0.007272809567512018,0.04775632068740634,0.040483511119894316
ref_mass_kg,0.0291892568597202,0.003309568903111775,0.025879687956608426
r3_tow_mtow_ratio,0.0314104423710664,0.005930178575390394,0.025480263795676004
median_altitude,0.012375847644943224,0.03731152913043241,0.024935681485489185
r3_mass_std_kg,0.07686688211369443,0.05708226664322137,0.019784615470473055
r3_cruise_mass_fuel_ratio,0.01959040115544444,0.0008681826954550934,0.018722218459989344
r3_mean_pe_j,0.01823446116153617,0.004192331665615856,0.014042129495920314
r3_wing_loading_cur,0.016105312222992413,0.002283403257969043,0.01382190896502337
mean_kinetic_energy_j,0.01210159240720591,0.0001440030281800493,0.01195758937902586
r3_landing_mass_kg,0.016629460810024352,0.00492911518763581,0.011700345622388541
mean_altitude,0.01412837623038167,0.003385563342735441,0.010742812887646228
mean_vertical_rate,0.009031411646445137,0.019259036279077713,0.010227624632632576
r3_mass_end_kg,0.009393021516997436,0.0007710091492818878,0.008622012367715547
r3_oew_base_kg,0.01125555143697524,0.002910842065344202,0.008344709371631037
r3_mass_start_kg,0.00803312377304945,0.015840066508908644,0.007806942735859194
start_fraction_of_flight,0.0203198801153126,0.013014301469378408,0.007305578645934193
cruise_fraction,0.008247778524590696,0.0010340229244835293,0.007213755600107167
energy_change_jpkg,0.007443231212848564,0.00044844431020300054,0.0069947869026455636
r3_mean_ke_j,0.00810853793428602,0.014932093176069083,0.006823555241783063
has_acars_in_window,0.007069743934148707,0.0003097412647341253,0.006760002669414582
mean_specific_energy_jpkg,0.007242905027201415,0.0005535051745964386,0.006689399852604977
r3_remaining_fuel_frac,0.016554361272937326,0.009916144536446375,0.00663821673649095
temperature_k,0.0069870677762975,0.00038835969861007985,0.00659870807768742
mean_groundspeed,0.0078005721742352785,0.013882540184183412,0.0060819680099481336
specific_energy_end,0.011296694435068031,0.005318130053167782,0.00597856438190025
r3_min_mass_kg,0.007543059237882925,0.013449726969153145,0.005906667731270221
pressure_pa,0.006434585690688458,0.0006166932049493051,0.005817892485739154
specific_energy_start,0.008934362570396814,0.01456964239352646,0.005635279823129646
energy_rate_jpkg_s,0.005800151637175943,0.00019405821346599967,0.005606093423709943
r3_max_mass_kg,0.009384636159707894,0.014784358573912736,0.0053997224142048415
cumulative_energy_change_jpkg,0.004453607747962737,0.0002866504479704558,0.004166957299992281
r3_fuel_mass_efficiency,0.009478271494433218,0.005328133698598161,0.0041501377958350575
density_altitude_m,0.014491408146649518,0.01833934598691363,0.0038479378402641127
isa_deviation_k,0.004750480234723204,0.000923709780317023,0.0038267704544061813
r3_cruise_mass_kg,0.010443410872355296,0.01348705475108043,0.0030436438787251347
n_traj_pts,0.0037963242888409553,0.0013380487851040645,0.002458275503736891
headwind_mps,0.0038573828569987774,0.0015117085036980623,0.002345674353300715
descent_fraction,0.010024488817240816,0.01233820193938289,0.0023137131221420727
crosswind_mps,0.0026526159554191493,0.0003654171801016931,0.0022871987753174563
std_vertical_rate,0.002500335095022135,0.0005579353936955393,0.0019423997013265956
max_groundspeed,0.0033957925003704897,0.0014543923257976364,0.0019414001745728534
max_altitude,0.012028725731373997,0.010300982833439259,0.0017277428979347378
std_altitude,0.015042093270981553,0.016649601203011427,0.0016075079320298745
mean_potential_energy_j,0.008251329480851161,0.006670741074933927,0.0015805884059172338
energy_efficiency,0.0009761494040186017,0.00004207250692977138,0.0009340768970888304
r3_mean_mass_kg,0.01063938637427817,0.00980064088681368,0.0008387454874644908
std_groundspeed,0.0025675977880671155,0.0028068286363846107,0.00023923084831749524
r3_phase_mass_kg,0.037813190731239246,0.03793765993255909,0.0001244692013198448
climb_efficiency,0.00019990234828270312,0.00009176728803559272,0.0001081350602471104
climb_fraction,0.007167210199047302,0.007080342851963724,0.00008686734708357804
