bin,n,mean_disagreement,mean_teacher_abs_error,mean_large_abs_error,teacher_rmse,large_rmse,mean_student_gap_abs
0,3717,3.9952925321234014,26.375231730065,26.692431933773133,41.16879133066139,41.29534997742524,0.3172002037081309
1,3717,6.542860238447521,30.29623098866679,30.34417920480942,47.684847505720064,48.262511955338745,0.047948216142632186
2,3717,8.180358798881393,34.91966553800251,33.0462509139875,55.05524463263416,54.70519318838447,-1.8734146240150154
3,3717,9.870823994903201,37.58367720423168,34.822451481217804,54.57423847406212,54.07036725270908,-2.7612257230138715
4,3717,12.074101562434489,36.96388224506319,32.78651971849617,57.79631643788528,56.50011020910979,-4.177362526567011
5,3717,15.495427288285374,44.01568352130722,41.1473829757475,71.80702484120755,70.50043848920454,-2.8683005455597135
6,3717,19.321936641938326,42.48088302221771,40.96934021107807,70.20060284282123,69.4307398555707,-1.5115428111396592
7,3717,25.337427497758107,72.23496900999208,72.14462874772526,129.29466150588837,129.3311472478077,-0.0903402622668352
8,3717,42.12287356981795,128.68150595766457,138.1303041288291,220.5649285061217,227.06066202139172,9.448798171164526
9,3717,143.77369055427533,287.8389183818011,316.8060536775292,606.2786502664561,612.1249794910075,28.967135295728166
