aircraft_type,body_class,n,mean_disagreement,teacher_rmse,large_rmse,student_gap,train_n,mean_teacher_abs_err,mean_large_abs_err
A20N,narrowbody,17056,14.9195668900566,73.68447023851856,72.09915358871447,-1.585316649804085,35662.0,42.59487514776964,37.23220251271225
A21N,narrowbody,792,20.4358273223749,62.42522477215696,59.742262312000875,-2.6829624601560838,2870.0,36.74993476899319,43.56719739078822
A319,narrowbody,221,30.55765253336049,52.10645599107258,53.49458684772045,1.3881308566478694,233.0,32.26738662360195,33.62130695015057
A320,narrowbody,7948,14.945600295096748,70.33169350003156,69.99876741151549,-0.33292608851607497,28188.0,39.31529680995609,39.61499053130626
A321,narrowbody,146,54.58724046984129,212.56284651584397,217.95461770109668,5.391771185252708,2406.0,110.69823711377836,121.39024598064682
A332,widebody_heavy,1396,63.59928977050194,273.54338543507725,254.36213613534636,-19.181249299730894,5064.0,145.65207234695015,153.45070492428317
A333,widebody_heavy,336,55.27630189109835,218.66818847986787,245.398707987296,26.73051950742814,1345.0,150.84780791635336,161.70720740770614
A359,widebody_heavy,5545,39.94242048121267,331.48419367220987,335.4486312723423,3.9644376001324417,22273.0,134.6901258742435,141.45262098175616
B38M,narrowbody,79,30.44111150298513,70.4618956306348,107.44855918752518,36.98666355689038,173.0,51.00906986025533,87.02844310937807
B738,narrowbody,1266,26.736223374001483,83.0023059969101,90.97463282953956,7.972326832629463,7076.0,47.23292073599331,49.98980090025168
B744,widebody_heavy,334,280.48234344525696,682.0424820599463,680.2383704787995,-1.804111581146799,509.0,405.31537150499213,439.06016484798954
B772,widebody_heavy,122,78.33807764513054,221.02335587581487,363.68850442224823,142.66514854643336,813.0,148.17345626637191,217.71589985831827
B77W,widebody_heavy,713,184.86879384126553,854.6356800881525,857.225665817266,2.5899857291134367,1584.0,372.79224947127057,478.64978286485217
B788,widebody_heavy,350,34.528994619558134,310.45380671169823,303.2114694975663,-7.242337214131908,7406.0,173.46086872409327,170.23206812151227
B789,widebody_heavy,805,47.46453087382151,335.4687619310249,347.873346726683,12.404584795658081,2905.0,135.96637536512716,156.4718822523219
