epoch,train_loss,mean_beta,train_rmse,val_rmse,val_mae,val_bias,val_r2,val_teacher_rmse,lr
1.0,1040910.1702127659,0.8163555010836175,1031.858297826097,1003.992556903871,503.9526062011719,-496.8064880371094,-0.3241155706453631,244.14115486523167,0.001
2.0,982721.7034574468,0.816360776728772,1000.2328799851501,972.0832908740934,467.21807861328125,-431.44134521484375,-0.24128601508013126,244.14115486523167,0.001
3.0,909538.039893617,0.8163135546319028,964.4910743952186,935.9261988903189,415.7774963378906,-394.3395080566406,-0.15066291165028578,244.14115486523167,0.001
4.0,839123.8484042553,0.8162590937411531,926.437342919371,897.4711979058054,376.1164855957031,-351.6015625,-0.05804940178439666,244.14115486523167,0.001
5.0,769207.2952127659,0.8164246310579016,886.942806371279,857.568859247641,341.2087097167969,-306.708251953125,0.03394264667494096,244.14115486523167,0.001
6.0,697916.590425532,0.8162661156755813,846.3403601925249,816.575919363043,312.0225524902344,-279.23138427734375,0.12409290688034569,244.14115486523167,0.001
7.0,627312.6921542553,0.8162145931670006,804.7409017921597,774.5233519392075,283.3025207519531,-242.38023376464844,0.21198598998309937,244.14115486523167,0.001
8.0,563639.9055851063,0.8162450321177219,762.9199647305488,732.1742872636013,256.1883850097656,-210.39556884765625,0.29580351580795794,244.14115486523167,0.001
9.0,496371.06848404254,0.8164449638508736,721.4429526903806,690.2427885827171,233.6392059326172,-190.08984375,0.3741522976287396,244.14115486523167,0.001
10.0,437815.81515957444,0.8162202150263684,680.8427562376748,648.8954541982018,212.92662048339844,-156.4933624267578,0.4468863584264745,244.14115486523167,0.001
11.0,383523.0791223404,0.8163618356623548,641.2872684488823,608.3061854965008,191.33277893066406,-135.3030242919922,0.5139181877607601,244.14115486523167,0.001
12.0,332736.3115026596,0.8162203557947849,603.442749461703,569.4586266167727,176.8346710205078,-111.37960815429688,0.5740199511837869,244.14115486523167,0.001
13.0,290660.0279255319,0.8163888162754952,568.0756559112026,533.3150032705662,161.82476806640625,-102.56436157226562,0.6263779412654166,244.14115486523167,0.001
14.0,249563.78291223405,0.816298541870523,533.5098451805053,497.9488957352831,150.42660522460938,-86.81123352050781,0.6742874794097903,244.14115486523167,0.001
15.0,214795.54089095743,0.8163121063658532,502.78459387147115,466.84818109360623,139.8717498779297,-79.24530792236328,0.7137033618237598,244.14115486523167,0.001
16.0,184948.4650930851,0.8164041042327881,473.4444416604917,437.09427588544304,131.45794677734375,-73.5826416015625,0.7490338522859927,244.14115486523167,0.001
17.0,159125.4408244681,0.8163525690423682,445.9075278029895,409.00889972968605,122.74516296386719,-55.60610580444336,0.7802492215038553,244.14115486523167,0.001
18.0,135760.53706781915,0.8162341371495673,420.9617152350488,384.850656158542,117.18755340576172,-47.458744049072266,0.8054418764725018,244.14115486523167,0.001
19.0,116587.97556515958,0.8164297126709147,398.5611703576861,362.81232094572744,111.66624450683594,-37.119319915771484,0.8270864765833221,244.14115486523167,0.001
20.0,100019.67677859042,0.8163856749838971,379.913723392705,344.15931708796046,107.86859893798828,-37.611820220947266,0.8444091803083439,244.14115486523167,0.001
21.0,86329.1603224734,0.8163557179430698,363.2468447858929,326.33781741739364,102.67500305175781,-27.6917724609375,0.8601057979494828,244.14115486523167,0.001
22.0,75320.18783244681,0.816249706643693,347.5774396041746,312.26248134897145,99.0011215209961,-31.426597595214844,0.8719131577266278,244.14115486523167,0.001
23.0,66204.06561668884,0.8162926105742759,336.80642883845655,301.9233060878021,97.6874771118164,-19.83335304260254,0.8802547808774379,244.14115486523167,0.001
24.0,59071.85347406915,0.816376583373293,326.1717238311989,291.71889012759544,94.11769104003906,-19.44442367553711,0.8882123024138608,244.14115486523167,0.001
25.0,52420.735497007976,0.8162548542022705,316.2575419434091,283.7144737232064,91.87499237060547,-23.14529800415039,0.8942627794702136,244.14115486523167,0.001
26.0,46668.84034242021,0.8163945345168419,306.7958003587129,274.57251103568666,90.47119140625,-14.293593406677246,0.9009672093658649,244.14115486523167,0.001
27.0,42608.98682679521,0.816379946597079,299.8614584219713,268.09183708540934,88.43316650390625,-17.334434509277344,0.9055869369696721,244.14115486523167,0.001
28.0,38468.51113696808,0.8163786631949405,294.0192047902439,263.17015065252036,87.5821533203125,-11.287075996398926,0.9090216273193361,244.14115486523167,0.001
29.0,35518.91075880984,0.8162309324487727,288.53657925359795,259.7454954616291,87.00276184082031,-8.047886848449707,0.9113740393625658,244.14115486523167,0.001
30.0,32780.7871924867,0.8162307751939651,283.79914195408736,256.571630881912,86.4452896118164,-15.13813304901123,0.9135266715498148,244.14115486523167,0.001
31.0,31013.81640625,0.8163144981607477,280.23622857434253,253.38588500141722,86.73849487304688,-2.673408031463623,0.9156607482947772,244.14115486523167,0.001
32.0,29518.08165724734,0.8163140821964183,276.89369734813334,251.70879831026298,84.40966796875,-11.930866241455078,0.9167734870541872,244.14115486523167,0.001
33.0,27859.20815325798,0.816305050190459,274.1209940408661,249.7980589240413,84.2541275024414,-15.4352388381958,0.9180322479351104,244.14115486523167,0.001
34.0,26622.94712017952,0.8163555923928606,271.04244427918667,246.9680046469815,83.2922592163086,-10.8087797164917,0.9198790127453519,244.14115486523167,0.001
35.0,25592.575319980053,0.8163410780277658,269.2004991358944,246.3193358266413,83.96208190917969,-6.9077839851379395,0.9202993403369859,244.14115486523167,0.001
36.0,24841.841921542553,0.8163903698008111,267.54142922620326,244.34047591516915,83.36390686035156,-3.8815886974334717,0.9215747815454455,244.14115486523167,0.001
37.0,24046.19561377992,0.816400574876907,265.543881788147,244.43567384728942,82.86474609375,-15.345540046691895,0.9215136588599798,244.14115486523167,0.001
38.0,22974.53999750665,0.8161138879491928,263.3324131295353,242.49541670490893,82.50354766845703,-10.715498924255371,0.9227547157847766,244.14115486523167,0.001
39.0,22402.779878656915,0.8164186743979759,261.4411852799219,242.4035540213755,82.35022735595703,-7.227390289306641,0.9228132291797164,244.14115486523167,0.001
40.0,21579.29361286569,0.8162937646216535,260.8531660778605,241.03928026690596,83.00226593017578,-1.3256042003631592,0.9236796154432739,244.14115486523167,0.001
41.0,21120.300043633644,0.8163013407524596,259.48903737772764,241.577063015082,83.06584930419922,-14.819662094116211,0.9233386787088151,244.14115486523167,0.001
42.0,20574.2056079621,0.8162348181643384,257.65136573295575,240.54090038413938,82.89179992675781,-3.488095998764038,0.9239948936960876,244.14115486523167,0.001
43.0,20406.476126163565,0.8162282578488613,256.65515278067494,239.4841771990894,83.24111938476562,1.9200202226638794,0.9246612247732218,244.14115486523167,0.001
44.0,19775.346814744014,0.8162249998843416,255.37345609240555,239.1367335231644,81.70270538330078,-8.604787826538086,0.9248796692086918,244.14115486523167,0.001
45.0,19403.720755069815,0.8163461748589861,255.08418682373946,239.12674078392553,83.2173843383789,1.249692440032959,0.9248859471416744,244.14115486523167,0.001
46.0,19005.603837682847,0.8163606067921253,253.90414379947308,237.9216302864655,82.22250366210938,-1.0135822296142578,0.9256411335986133,244.14115486523167,0.001
47.0,18721.582239029256,0.816356823799458,253.57220139421452,237.25463201984456,82.42539978027344,3.5681662559509277,0.926057469966011,244.14115486523167,0.001
48.0,18692.840996924868,0.81628695066939,252.70095684391939,237.19502932859507,83.1973648071289,-1.5547655820846558,0.9260946167240666,244.14115486523167,0.001
49.0,18150.820551446144,0.8163506033572745,251.5301582264445,237.03053956411006,82.00191497802734,-4.497011661529541,0.9261970848400553,244.14115486523167,0.001
50.0,17737.33414020944,0.8163583456201756,251.09689838163774,237.30806823770067,82.9975814819336,-0.7801490426063538,0.9260241584637643,244.14115486523167,0.001
51.0,17511.239122755986,0.8163550711692648,250.36283804214136,236.16644180600846,82.120849609375,-8.741972923278809,0.9267342028936183,244.14115486523167,0.001
52.0,17477.877794630986,0.8162979268013163,250.05035545392056,236.89957703185033,84.21479797363281,-3.9485437870025635,0.9262786164987141,244.14115486523167,0.001
53.0,16973.6743579621,0.8162211712370527,249.1493549041814,235.5616875244299,82.18302917480469,-13.288501739501953,0.9271089477082318,244.14115486523167,0.001
