run_name,group,lam,weight_fn,static_beta,uncertainty_source,best_val_rmse,best_epoch,mean_beta,n_params,train_seconds
vgkd_exp_lam0.0,lambda_sweep,0.0,exp,,ensemble_std,230.59615106774913,75,0.9000000000000001,2887425,505.94930148124695
vgkd_exp_lam0.25,lambda_sweep,0.25,exp,,ensemble_std,236.8349051501591,80,0.8679626265447598,2887425,995.2725203037262
vgkd_exp_lam0.5,lambda_sweep,0.5,exp,,ensemble_std,240.55175564724468,72,0.846902074736881,2887425,978.824551820755
vgkd_exp_lam1.0,lambda_sweep,1.0,exp,,ensemble_std,243.65678903868877,72,0.8182419071713517,2887425,1137.7605609893799
vgkd_exp_lam2.0,lambda_sweep,2.0,exp,,ensemble_std,245.77886616314063,72,0.7843065960776798,2887425,302.3737292289734
static_beta0.7,static_beta,0.0,exp,0.7,ensemble_std,229.12844779765575,75,0.7000000000000001,2887425,309.75452709198
static_beta0.8,static_beta,0.0,exp,0.8,ensemble_std,229.4107949433642,80,0.8,2887425,485.00028014183044
static_beta0.9,static_beta,0.0,exp,0.9,ensemble_std,230.59615106774913,75,0.9000000000000001,2887425,278.4849829673767
vgkd_lin_lam0.25,linear,0.25,linear,,ensemble_std,239.88045758214614,75,0.8618950438329148,2887425,286.7934069633484
vgkd_lin_lam0.5,linear,0.5,linear,,ensemble_std,241.75177272875592,74,0.8347936715909119,2887425,284.7601361274719
vgkd_lin_lam1.0,linear,1.0,linear,,ensemble_std,246.36122537432996,75,0.7983802730302881,2887425,282.8338849544525
vgkd_lin_lam2.0,linear,2.0,linear,,ensemble_std,245.88738349422815,72,0.7590289419210269,2887425,282.1624114513397
vgkd_random_lam1.0,random,1.0,exp,,random,229.99753897390679,74,0.8163136303546643,2887425,283.34446597099304
vgkd_oracle_lam1.0,oracle,1.0,exp,,oracle_abs_error,243.84400093066924,72,0.8256030397103045,2887425,282.1141998767853
